Gestion;2014;;;;;;;;;;;;;;;;;;;
Type budget;Budgets annexes;;;;;;;;;;;;;;;;;;;
;;;;;Données;;;;;;;;;;;;;;;
Mission;Programme;Action;Sous-action;Libellé SSA;AELF 2013;AEPLF;AEAMT;AELF;CPLF 2013;CPPLF;CPAMT;CPLF;;;;;;;;
Contrôle et exploitation aériens;612;01;;;12 659 316;15 734 316;0;15 734 316;12 039 316;15 235 880;0;15 235 880;;;;;;;;
Contrôle et exploitation aériens;612;02;;;100 450 000;120 581 325;0;120 581 325;94 580 000;117 961 625;0;117 961 625;;;;;;;;
Contrôle et exploitation aériens;612;03;;;333 700 000;359 807 675;0;359 807 675;341 220 000;358 085 811;0;358 085 811;;;;;;;;
Contrôle et exploitation aériens;612;04;;;12 320 000;13 930 000;0;13 930 000;12 710 000;15 800 000;0;15 800 000;;;;;;;;
Contrôle et exploitation aériens;612;05;;;23 710 000;28 966 000;0;28 966 000;22 210 000;29 936 000;0;29 936 000;;;;;;;;
Contrôle et exploitation aériens;612;06;;;16 410 000;14 584 829;0;14 584 829;16 490 000;16 584 829;0;16 584 829;;;;;;;;
Contrôle et exploitation aériens;613;01;;;1 149 245 750;1 151 687 953;0;1 151 687 953;1 149 245 750;1 151 687 953;0;1 151 687 953;;;;;;;;
Contrôle et exploitation aériens;613;02;;;33 470 879;44 557 416;0;44 557 416;33 470 879;43 894 416;0;43 894 416;;;;;;;;
Contrôle et exploitation aériens;613;03;;;456 087 273;430 450 015;0;430 450 015;456 087 273;430 450 015;0;430 450 015;;;;;;;;
Contrôle et exploitation aériens;613;04;;;97 125 000;96 891 127;0;96 891 127;97 125 000;96 891 127;0;96 891 127;;;;;;;;
Contrôle et exploitation aériens;614;01;;;24 128 332;16 014 551;0;16 014 551;24 128 332;16 677 551;0;16 677 551;;;;;;;;
Contrôle et exploitation aériens;614;02;;;24 572 370;24 818 797;0;24 818 797;24 572 370;24 818 797;0;24 818 797;;;;;;;;
Contrôle et exploitation aériens;614;04;;;3 070 416;3 043 091;0;3 043 091;3 070 416;3 043 091;0;3 043 091;;;;;;;;
Publications officielles et information administrative;623;01;;;38 810 591;34 569 916;0;34 569 916;39 294 129;34 548 546;0;34 548 546;;;;;;;;
Publications officielles et information administrative;623;02;;;68 235 125;77 868 163;0;77 868 163;68 751 587;67 689 533;0;67 689 533;;;;;;;;
Publications officielles et information administrative;624;01;;;93 542 722;92 919 332;0;92 919 332;95 142 722;93 559 302;0;93 559 302;;;;;;;;
Publications officielles et information administrative;624;02;;;9 387 953;9 722 542;0;9 722 542;9 387 953;9 722 542;0;9 722 542;;;;;;;;
