Gestion;2014;;;;;;;;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;;;;;;;;
;;;;Données;;;;;;;;;;;;;;;;
Mission;Programme;Action;Titre;AELF 2013;AEPLF;AEAMT;AELF;CPLF 2013;CPPLF;CPAMT;CPLF;;;;;;;;;
Action extérieure de l'État;105;01;2;61 044 798;62 770 946;0;62 770 946;61 044 798;62 770 946;0;62 770 946;;;;;;;;;
Action extérieure de l'État;105;01;3;24 971 363;22 870 166;0;22 870 166;24 971 363;22 870 166;0;22 870 166;;;;;;;;;
Action extérieure de l'État;105;01;6;2 315 000;2 315 000;0;2 315 000;2 315 000;2 315 000;0;2 315 000;;;;;;;;;
Action extérieure de l'État;105;02;2;9 609 087;9 963 008;0;9 963 008;9 609 087;9 963 008;0;9 963 008;;;;;;;;;
Action extérieure de l'État;105;02;3;35 000;35 000;0;35 000;35 000;35 000;0;35 000;;;;;;;;;
Action extérieure de l'État;105;02;6;38 865 461;39 598 275;0;39 598 275;40 705 461;39 598 275;0;39 598 275;;;;;;;;;
Action extérieure de l'État;105;04;6;845 831 562;803 329 055;0;803 329 055;845 831 562;803 329 055;0;803 329 055;;;;;;;;;
Action extérieure de l'État;105;05;2;58 462 045;63 741 969;0;63 741 969;58 462 045;63 741 969;0;63 741 969;;;;;;;;;
Action extérieure de l'État;105;05;3;5 676 661;5 432 503;0;5 432 503;5 676 661;5 432 503;0;5 432 503;;;;;;;;;
Action extérieure de l'État;105;05;6;26 277 081;25 146 885;0;25 146 885;26 277 081;25 146 885;0;25 146 885;;;;;;;;;
Action extérieure de l'État;105;06;2;109 429 225;112 668 218;0;112 668 218;109 429 225;112 668 218;0;112 668 218;;;;;;;;;
Action extérieure de l'État;105;06;3;110 637 689;111 633 113;0;111 633 113;115 533 689;116 583 113;0;116 583 113;;;;;;;;;
Action extérieure de l'État;105;06;5;5 050 000;5 150 000;0;5 150 000;7 500 000;7 600 000;0;7 600 000;;;;;;;;;
Action extérieure de l'État;105;07;2;349 089 186;359 155 205;0;359 155 205;349 089 186;359 155 205;0;359 155 205;;;;;;;;;
Action extérieure de l'État;105;07;3;202 934 006;212 976 795;0;212 976 795;202 934 006;212 976 795;0;212 976 795;;;;;;;;;
Action extérieure de l'État;105;07;5;6 555 000;7 855 000;0;7 855 000;6 555 000;7 855 000;0;7 855 000;;;;;;;;;
Action extérieure de l'État;151;01;2;167 115 109;172 949 200;0;172 949 200;167 115 109;172 949 200;0;172 949 200;;;;;;;;;
Action extérieure de l'État;151;01;3;14 361 800;18 035 000;0;18 035 000;14 361 800;18 035 000;0;18 035 000;;;;;;;;;
Action extérieure de l'État;151;01;6;20 039 430;19 812 000;0;19 812 000;20 039 430;19 812 000;0;19 812 000;;;;;;;;;
Action extérieure de l'État;151;02;6;110 300 000;118 800 000;0;118 800 000;110 300 000;118 800 000;0;118 800 000;;;;;;;;;
Action extérieure de l'État;151;03;2;45 379 858;45 944 594;0;45 944 594;45 379 858;45 944 594;0;45 944 594;;;;;;;;;
Action extérieure de l'État;151;03;5;0;0;0;0;0;0;0;0;;;;;;;;;
Action extérieure de l'État;151;03;6;0;0;0;0;0;0;0;0;;;;;;;;;
Action extérieure de l'État;185;01;2;0;0;0;0;0;0;0;0;;;;;;;;;
Action extérieure de l'État;185;01;3;46 156 343;42 838 905;0;42 838 905;46 156 343;42 838 905;0;42 838 905;;;;;;;;;
Action extérieure de l'État;185;01;6;1 413 158;1 354 697;0;1 354 697;1 413 158;1 354 697;0;1 354 697;;;;;;;;;
Action extérieure de l'État;185;02;3;43 714 309;40 809 871;0;40 809 871;43 714 309;40 809 871;0;40 809 871;;;;;;;;;
Action extérieure de l'État;185;02;6;35 136 591;32 840 434;0;32 840 434;35 136 591;32 840 434;0;32 840 434;;;;;;;;;
Action extérieure de l'État;185;03;3;254 445;243 501;0;243 501;254 445;243 501;0;243 501;;;;;;;;;
Action extérieure de l'État;185;03;6;9 130 731;8 700 327;0;8 700 327;9 130 731;8 700 327;0;8 700 327;;;;;;;;;
Action extérieure de l'État;185;04;3;10 171 703;10 058 339;0;10 058 339;10 171 703;10 058 339;0;10 058 339;;;;;;;;;
Action extérieure de l'État;185;04;6;95 999 242;91 737 730;0;91 737 730;95 999 242;91 737 730;0;91 737 730;;;;;;;;;
Action extérieure de l'État;185;05;3;425 000 000;416 500 000;0;416 500 000;425 000 000;416 500 000;0;416 500 000;;;;;;;;;
Action extérieure de l'État;185;05;6;320 497;0;0;0;320 497;0;0;0;;;;;;;;;
Action extérieure de l'État;185;06;2;82 172 206;79 638 228;0;79 638 228;82 172 206;79 638 228;0;79 638 228;;;;;;;;;
Administration générale et territoriale de l'État;216;01;2;348 988 459;350 566 992;0;350 566 992;348 988 459;350 566 992;0;350 566 992;;;;;;;;;
Administration générale et territoriale de l'État;216;01;3;32 177 362;31 783 831;0;31 783 831;32 571 245;32 177 714;0;32 177 714;;;;;;;;;
Administration générale et territoriale de l'État;216;03;2;0;0;0;0;0;0;0;0;;;;;;;;;
Administration générale et territoriale de l'État;216;03;3;42 073 085;40 761 085;0;40 761 085;42 073 085;40 761 085;0;40 761 085;;;;;;;;;
Administration générale et territoriale de l'État;216;03;5;9 235 140;9 667 140;0;9 667 140;9 235 140;9 447 140;0;9 447 140;;;;;;;;;
Administration générale et territoriale de l'État;216;04;3;35 935 000;36 456 568;0;36 456 568;35 935 000;36 456 568;0;36 456 568;;;;;;;;;
Administration générale et territoriale de l'État;216;05;2;0;0;0;0;0;0;0;0;;;;;;;;;
Administration générale et territoriale de l'État;216;05;3;84 460 345;213 000 267;0;213 000 267;103 882 022;103 981 435;0;103 981 435;;;;;;;;;
Administration générale et territoriale de l'État;216;05;5;895 000;850 000;0;850 000;7 667 978;8 435 995;0;8 435 995;;;;;;;;;
Administration générale et territoriale de l'État;216;06;3;82 046 463;82 046 463;0;82 046 463;82 046 463;82 046 463;0;82 046 463;;;;;;;;;
Administration générale et territoriale de l'État;216;08;2;37 150 304;41 343 819;0;41 343 819;37 150 304;41 343 819;0;41 343 819;;;;;;;;;
Administration générale et territoriale de l'État;232;01;6;76 264 408;68 637 967;0;68 637 967;76 264 408;68 637 967;0;68 637 967;;;;;;;;;
Administration générale et territoriale de l'État;232;02;2;1 010 000;25 538 000;0;25 538 000;1 010 000;25 538 000;0;25 538 000;;;;;;;;;
Administration générale et territoriale de l'État;232;02;3;57 822 800;163 588 000;0;163 588 000;54 863 000;163 073 788;0;163 073 788;;;;;;;;;
Administration générale et territoriale de l'État;232;02;5;3 153 000;0;0;0;3 153 000;0;0;0;;;;;;;;;
Administration générale et territoriale de l'État;232;02;6;565 000;20 630 000;0;20 630 000;565 000;20 630 000;0;20 630 000;;;;;;;;;
Administration générale et territoriale de l'État;232;03;2;2 854 570;4 010 000;0;4 010 000;2 854 570;4 010 000;0;4 010 000;;;;;;;;;
Administration générale et territoriale de l'État;232;03;3;840 000;890 000;0;890 000;1 994 951;2 044 951;0;2 044 951;;;;;;;;;
Administration générale et territoriale de l'État;232;04;5;660 000;660 000;0;660 000;660 000;660 000;0;660 000;;;;;;;;;
Administration générale et territoriale de l'État;232;04;6;1 628 533;1 318 700;0;1 318 700;1 628 533;1 318 700;0;1 318 700;;;;;;;;;
Administration générale et territoriale de l'État;232;05;3;50 000;50 000;0;50 000;50 000;50 000;0;50 000;;;;;;;;;
Administration générale et territoriale de l'État;232;05;5;35 000;35 000;0;35 000;35 000;35 000;0;35 000;;;;;;;;;
Administration générale et territoriale de l'État;232;05;6;288 500;0;0;0;288 500;0;0;0;;;;;;;;;
Administration générale et territoriale de l'État;307;01;2;169 237 492;174 211 214;0;174 211 214;169 237 492;174 211 214;0;174 211 214;;;;;;;;;
Administration générale et territoriale de l'État;307;02;2;619 021 807;625 396 054;0;625 396 054;619 021 807;625 396 054;0;625 396 054;;;;;;;;;
Administration générale et territoriale de l'État;307;02;3;11 657 732;11 657 732;0;11 657 732;11 657 732;11 657 732;0;11 657 732;;;;;;;;;
Administration générale et territoriale de l'État;307;02;5;0;0;0;0;0;0;0;0;;;;;;;;;
Administration générale et territoriale de l'État;307;03;2;154 597 178;158 004 026;0;158 004 026;154 597 178;158 004 026;0;158 004 026;;;;;;;;;
Administration générale et territoriale de l'État;307;03;3;0;0;0;0;0;0;0;0;;;;;;;;;
Administration générale et territoriale de l'État;307;04;2;516 281 969;514 732 340;0;514 732 340;516 281 969;514 732 340;0;514 732 340;;;;;;;;;
Administration générale et territoriale de l'État;307;04;3;10 575 976;10 175 313;0;10 175 313;10 575 976;10 175 313;0;10 175 313;;;;;;;;;
Administration générale et territoriale de l'État;307;04;5;3 720 000;3 571 200;0;3 571 200;3 720 000;3 571 200;0;3 571 200;;;;;;;;;
Administration générale et territoriale de l'État;307;05;2;54 595 312;59 773 365;0;59 773 365;54 595 312;59 773 365;0;59 773 365;;;;;;;;;
Administration générale et territoriale de l'État;307;05;3;123 443 703;123 854 819;0;123 854 819;122 803 737;122 394 837;0;122 394 837;;;;;;;;;
Administration générale et territoriale de l'État;307;05;5;37 353 094;46 536 012;0;46 536 012;50 136 012;46 336 012;0;46 336 012;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;149;11;3;185 605 132;216 254 982;0;216 254 982;185 605 132;216 254 982;0;216 254 982;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;149;11;5;9 163 187;8 425 355;0;8 425 355;9 163 187;8 425 355;0;8 425 355;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;149;11;6;14 979 528;15 377 448;0;15 377 448;19 010 312;19 381 106;0;19 381 106;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;149;12;3;17 614 027;16 050 000;0;16 050 000;17 616 027;16 050 000;0;16 050 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;149;12;6;63 403 401;50 397 832;0;50 397 832;84 044 185;52 602 787;0;52 602 787;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;149;13;6;0;14 367 234;0;14 367 234;0;25 523 190;0;25 523 190;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;11;3;100 000;200 000;0;200 000;100 000;200 000;0;200 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;11;6;410 109 108;236 088 108;0;236 088 108;411 139 346;298 118 346;0;298 118 346;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;12;6;33 615 658;29 118 666;0;29 118 666;33 615 724;29 110 399;0;29 110 399;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;13;6;196 321 416;133 019 128;0;133 019 128;175 911 416;225 758 701;0;225 758 701;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;14;3;650 000;650 000;0;650 000;650 000;650 000;0;650 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;14;5;500 000;500 000;0;500 000;500 000;500 000;0;500 000;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;14;6;880 645 217;804 789 902;0;804 789 902;913 094 887;824 165 238;0;824 165 238;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;15;3;257 671 546;253 519 881;0;253 519 881;257 671 546;253 519 881;0;253 519 881;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;15;6;1 000;0;0;0;1 000;0;0;0;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;01;3;6 083 154;5 636 454;0;5 636 454;6 083 154;5 636 454;0;5 636 454;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;01;6;14 594 755;17 174 755;0;17 174 755;14 594 755;17 174 755;0;17 174 755;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;02;3;63 657 158;69 792 509;0;69 792 509;63 664 125;68 677 509;0;68 677 509;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;02;6;45 834 677;29 839 130;0;29 839 130;45 834 677;29 839 130;0;29 839 130;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;03;3;9 107 803;9 808 726;0;9 808 726;9 107 803;9 808 726;0;9 808 726;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;03;6;5 870 162;5 830 162;0;5 830 162;5 870 162;5 830 162;0;5 830 162;;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;04;3;72 771 658;68 448 530;0;68 448 530;72 586 691;68 263 530;0;68 263 530;;;;;;;;;
