Gestion;2014;;;;;;;;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;;;;;;;;
;;;;;Données;;;;;;;;;;;;;;;
Mission;Programme;Action;Sous-action;Libellé SSA;AELF 2013;AEPLF;AEAMT;AELF;CPLF 2013;CPPLF;CPAMT;CPLF;;;;;;;;
Action extérieure de l'État;105;01;;;88 331 161;87 956 112;0;87 956 112;88 331 161;87 956 112;0;87 956 112;;;;;;;;
Action extérieure de l'État;105;02;;;48 509 548;49 596 283;0;49 596 283;50 349 548;49 596 283;0;49 596 283;;;;;;;;
Action extérieure de l'État;105;04;;;845 831 562;803 329 055;0;803 329 055;845 831 562;803 329 055;0;803 329 055;;;;;;;;
Action extérieure de l'État;105;05;;;90 415 787;94 321 357;0;94 321 357;90 415 787;94 321 357;0;94 321 357;;;;;;;;
Action extérieure de l'État;105;06;;;225 116 914;229 451 331;0;229 451 331;232 462 914;236 851 331;0;236 851 331;;;;;;;;
Action extérieure de l'État;105;07;;;558 578 192;579 987 000;0;579 987 000;558 578 192;579 987 000;0;579 987 000;;;;;;;;
Action extérieure de l'État;151;01;;;201 516 339;210 796 200;0;210 796 200;201 516 339;210 796 200;0;210 796 200;;;;;;;;
Action extérieure de l'État;151;02;;;110 300 000;118 800 000;0;118 800 000;110 300 000;118 800 000;0;118 800 000;;;;;;;;
Action extérieure de l'État;151;03;;;45 379 858;45 944 594;0;45 944 594;45 379 858;45 944 594;0;45 944 594;;;;;;;;
Action extérieure de l'État;185;01;;;47 569 501;44 193 602;0;44 193 602;47 569 501;44 193 602;0;44 193 602;;;;;;;;
Action extérieure de l'État;185;02;;;78 850 900;73 650 305;0;73 650 305;78 850 900;73 650 305;0;73 650 305;;;;;;;;
Action extérieure de l'État;185;03;;;9 385 176;8 943 828;0;8 943 828;9 385 176;8 943 828;0;8 943 828;;;;;;;;
Action extérieure de l'État;185;04;;;106 170 945;101 796 069;0;101 796 069;106 170 945;101 796 069;0;101 796 069;;;;;;;;
Action extérieure de l'État;185;05;;;425 320 497;416 500 000;0;416 500 000;425 320 497;416 500 000;0;416 500 000;;;;;;;;
Action extérieure de l'État;185;06;;;82 172 206;79 638 228;0;79 638 228;82 172 206;79 638 228;0;79 638 228;;;;;;;;
Administration générale et territoriale de l'État;216;01;;;381 165 821;382 350 823;0;382 350 823;381 559 704;382 744 706;0;382 744 706;;;;;;;;
Administration générale et territoriale de l'État;216;03;;;51 308 225;50 428 225;0;50 428 225;51 308 225;50 208 225;0;50 208 225;;;;;;;;
Administration générale et territoriale de l'État;216;04;;;35 935 000;36 456 568;0;36 456 568;35 935 000;36 456 568;0;36 456 568;;;;;;;;
Administration générale et territoriale de l'État;216;05;;;85 355 345;213 850 267;0;213 850 267;111 550 000;112 417 430;0;112 417 430;;;;;;;;
Administration générale et territoriale de l'État;216;06;;;82 046 463;82 046 463;0;82 046 463;82 046 463;82 046 463;0;82 046 463;;;;;;;;
Administration générale et territoriale de l'État;216;08;;;37 150 304;41 343 819;0;41 343 819;37 150 304;41 343 819;0;41 343 819;;;;;;;;
Administration générale et territoriale de l'État;232;01;;;76 264 408;68 637 967;0;68 637 967;76 264 408;68 637 967;0;68 637 967;;;;;;;;
Administration générale et territoriale de l'État;232;02;;;62 550 800;209 756 000;0;209 756 000;59 591 000;209 241 788;0;209 241 788;;;;;;;;
Administration générale et territoriale de l'État;232;03;;;3 694 570;4 900 000;0;4 900 000;4 849 521;6 054 951;0;6 054 951;;;;;;;;
Administration générale et territoriale de l'État;232;04;;;2 288 533;1 978 700;0;1 978 700;2 288 533;1 978 700;0;1 978 700;;;;;;;;
Administration générale et territoriale de l'État;232;05;;;373 500;85 000;0;85 000;373 500;85 000;0;85 000;;;;;;;;
Administration générale et territoriale de l'État;307;01;;;169 237 492;174 211 214;0;174 211 214;169 237 492;174 211 214;0;174 211 214;;;;;;;;
Administration générale et territoriale de l'État;307;02;;;630 679 539;637 053 786;0;637 053 786;630 679 539;637 053 786;0;637 053 786;;;;;;;;
Administration générale et territoriale de l'État;307;03;;;154 597 178;158 004 026;0;158 004 026;154 597 178;158 004 026;0;158 004 026;;;;;;;;
Administration générale et territoriale de l'État;307;04;;;530 577 945;528 478 853;0;528 478 853;530 577 945;528 478 853;0;528 478 853;;;;;;;;
Administration générale et territoriale de l'État;307;05;;;215 392 109;230 164 196;0;230 164 196;227 535 061;228 504 214;0;228 504 214;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;149;11;;;209 747 847;240 057 785;0;240 057 785;213 778 631;244 061 443;0;244 061 443;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;149;12;;;81 017 428;66 447 832;0;66 447 832;101 660 212;68 652 787;0;68 652 787;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;149;13;;;0;14 367 234;0;14 367 234;0;25 523 190;0;25 523 190;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;11;;;410 209 108;236 288 108;0;236 288 108;411 239 346;298 318 346;0;298 318 346;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;12;;;33 615 658;29 118 666;0;29 118 666;33 615 724;29 110 399;0;29 110 399;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;13;;;196 321 416;133 019 128;0;133 019 128;175 911 416;225 758 701;0;225 758 701;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;14;;;881 795 217;805 939 902;0;805 939 902;914 244 887;825 315 238;0;825 315 238;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;15;;;257 672 546;253 519 881;0;253 519 881;257 672 546;253 519 881;0;253 519 881;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;01;;;20 677 909;22 811 209;0;22 811 209;20 677 909;22 811 209;0;22 811 209;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;02;;;109 491 835;99 631 639;0;99 631 639;109 498 802;98 516 639;0;98 516 639;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;03;;;14 977 965;15 638 888;0;15 638 888;14 977 965;15 638 888;0;15 638 888;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;04;;;73 918 806;73 219 658;0;73 219 658;73 911 839;73 334 658;0;73 334 658;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;05;;;4 000 000;2 200 000;0;2 200 000;4 000 000;3 200 000;0;3 200 000;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;06;;;283 783 601;287 001 655;0;287 001 655;283 783 601;287 001 655;0;287 001 655;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;08;;;4 187 500;4 151 000;0;4 151 000;4 187 500;4 151 000;0;4 151 000;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;01;;;206 609 719;204 822 727;0;204 822 727;213 050 119;211 263 127;0;211 263 127;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;02;;;18 984 063;18 583 211;0;18 583 211;18 984 063;18 583 211;0;18 583 211;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;03;;;431 648 362;430 853 553;0;430 853 553;431 648 362;430 853 553;0;430 853 553;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;04;;;71 495 976;67 912 951;0;67 912 951;75 455 575;72 072 551;0;72 072 551;;;;;;;;
Aide publique au développement;110;01;;;63 050 000;1 581 174 272;0;1 581 174 272;672 897 576;635 866 049;0;635 866 049;;;;;;;;
Aide publique au développement;110;02;;;431 540 238;395 606 400;0;395 606 400;374 932 716;318 282 578;0;318 282 578;;;;;;;;
Aide publique au développement;110;03;;;417 075;388 873 372;0;388 873 372;113 118 142;161 274 852;0;161 274 852;;;;;;;;
Aide publique au développement;209;02;;;609 970 183;598 033 112;0;598 033 112;605 171 022;568 719 768;0;568 719 768;;;;;;;;
Aide publique au développement;209;05;;;414 728 840;323 804 026;0;323 804 026;436 795 506;329 305 913;0;329 305 913;;;;;;;;
Aide publique au développement;209;07;;;688 695 000;710 855 000;0;710 855 000;688 695 000;710 855 000;0;710 855 000;;;;;;;;
Aide publique au développement;209;08;;;210 085 603;206 180 672;0;206 180 672;210 085 603;206 180 672;0;206 180 672;;;;;;;;
Aide publique au développement;209;09;;;11 024 000;2 000 000;0;2 000 000;18 524 000;11 500 000;0;11 500 000;;;;;;;;
