Gestion;2015;;;;;;;;
Type Budget;Comptes spéciaux et Comptes de concours financiers;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2014;AEPLF; CPLF 2014; CPPLF
Accords monétaires internationaux;811;1;Relations avec l'Union monétaire ouest-africaine;0;;0;0;0;0
Accords monétaires internationaux;812;1;Relations avec l'Union monétaire d'Afrique centrale;0;;0;0;0;0
Accords monétaires internationaux;813;1;Relations avec l'Union des Comores;0;;0;0;0;0
Aides à l'acquisition de véhicules propres;791;1;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;0;;268 300 000;214 150 000;268 300 000;214 150 000
Aides à l'acquisition de véhicules propres;792;1;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;0;;1 600 000;28 000 000;1 600 000;28 000 000
Avances à divers services de l'État ou organismes gérant des services publics;821;1;Avances au titre du préfinancement des aides communautaires de la politique agricole commune;0;;7 200 000 000;7 200 000 000;7 200 000 000;7 200 000 000
Avances à divers services de l'État ou organismes gérant des services publics;823;1;Avances à des organismes distincts de l'État et gérant des services publics;0;;59 500 000;56 000 000;59 500 000;56 000 000
Avances à divers services de l'État ou organismes gérant des services publics;824;1;Avances au budget annexe « Contrôle et exploitation aériens »;0;;267 188 426;167 856 329;267 188 426;167 856 329
Avances à divers services de l'État ou organismes gérant des services publics;825;1;Avances à l'ONIAM au titre de l'indemnisation des victimes du Benfluorex;0;;15 000 000;15 000 000;15 000 000;15 000 000
Avances à l'audiovisuel public;841;1;France Télévisions;0;;2 429 824 798;2 369 360 683;2 429 824 798;2 369 360 683
Avances à l'audiovisuel public;842;1;ARTE France;0;;265 940 903;267 249 469;265 940 903;267 249 469
Avances à l'audiovisuel public;843;1;Radio France;0;;614 524 966;614 392 236;614 524 966;614 392 236
Avances à l'audiovisuel public;844;1;France Médias Monde;0;;169 857 945;247 082 000;169 857 945;247 082 000
Avances à l'audiovisuel public;845;1;Institut national de l'audiovisuel;0;;70 950 976;90 869 000;70 950 976;90 869 000
Avances à l'audiovisuel public;847;1;TV5 Monde;0;;0;77 834 205;0;77 834 205
Avances aux collectivités territoriales;832;1;Avances de l'article 70 de la loi du 31 mars 1932 et de l'article L. 2336-1 du code général des collectivités territoriales;0;;6 000 000;6 000 000;6 000 000;6 000 000
Avances aux collectivités territoriales;832;2;Avances de l'article 14 de la loi n° 46-2921 du 23 décembre 1946 et de l'article L. 2236-2 du code général des collectivités territoriales;0;;0;0;0;0
Avances aux collectivités territoriales;832;3;Avances de l'article 34 de la loi n° 53-1336 du 31 décembre 1953 (avances spéciales sur recettes budgétaires);0;;0;0;0;0
Avances aux collectivités territoriales;832;4;Avances à la Nouvelle-Calédonie, au titre de la fiscalité du nickel;0;;0;0;0;0
Avances aux collectivités territoriales;833;1;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;0;;90 001 061 201;93 793 451 284;90 001 061 201;93 793 451 284
Avances aux collectivités territoriales;833;2;Avances aux départements sur le produit de la taxe intérieure de consommation sur les produits pétroliers;0;;5 912 037 625;5 880 850 162;5 912 037 625;5 880 850 162
Avances aux collectivités territoriales;833;3;Avances aux départements sur les frais de gestion de la taxe foncière sur les propriétés bâties;0;;827 175 388;874 432 324;827 175 388;874 432 324
Avances aux collectivités territoriales;833;4;Avances aux régions sur les frais de gestion de la contribution foncière des entreprises (CFE), de la contribution sur la valeur ajoutée des entreprises (CVAE) et de la taxe d'habitation (TH) et sur le produit de la taxe intérieure de consommation sur l;0;;901 065 529;917 678 742;901 065 529;917 678 742
Contrôle de la circulation et du stationnement routiers;751;1;Dispositifs de contrôle;0;;118 815 437;117 144 300;118 815 437;117 144 300
Contrôle de la circulation et du stationnement routiers;751;2;Centre national de traitement;0;;94 304 563;93 623 700;94 304 563;93 623 700
Contrôle de la circulation et du stationnement routiers;751;3;Soutien au programme;0;;6 880 000;6 350 000;6 880 000;6 350 000
Contrôle de la circulation et du stationnement routiers;752;1;Fichier national du permis de conduire;0;;19 000 000;21 882 000;19 000 000;21 882 000
Contrôle de la circulation et du stationnement routiers;753;1;Déploiement du procès-verbal électronique;0;;31 559 321;30 000 000;31 559 321;30 000 000
Contrôle de la circulation et du stationnement routiers;754;1;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;0;;679 775 440;667 191 234;679 775 440;667 191 234
