Gestion;2016;;;;;;;;;;;;;;;;;;;;
Type Budget;Budget général;;;;;;;;;;;;;;;;;;;;
;;;;;;Données;;;;;;;;;;;;;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2015;AEPLF;AEAMT;AELF; CPLF 2015; CPPLF;CPAMT;CPLF;;;;;;;;
Action extérieure de l'État;105;01;Coordination de l'action diplomatique;0;;83 729 358;92 128 031;0;92 128 031;83 729 358;92 128 031;0;92 128 031;;;;;;;;
Action extérieure de l'État;105;02;Action européenne;0;;50 212 601;49 129 893;0;49 129 893;50 212 601;49 129 893;0;49 129 893;;;;;;;;
Action extérieure de l'État;105;04;Contributions internationales;0;;746 387 501;904 581 269;0;904 581 269;746 387 501;904 581 269;0;904 581 269;;;;;;;;
Action extérieure de l'État;105;05;Coopération de sécurité et de défense;0;;93 763 570;87 840 302;0;87 840 302;93 763 570;87 840 302;0;87 840 302;;;;;;;;
Action extérieure de l'État;105;06;Soutien;0;;230 853 765;229 456 021;0;229 456 021;235 818 765;232 859 985;0;232 859 985;;;;;;;;
Action extérieure de l'État;105;07;Réseau diplomatique;0;;581 877 313;616 349 089;0;616 349 089;581 877 313;604 149 089;0;604 149 089;;;;;;;;
Action extérieure de l'État;151;01;Offre d'un service public de qualité aux Français à l'étranger;0;;200 671 785;204 865 716;0;204 865 716;200 671 785;204 865 716;0;204 865 716;;;;;;;;
Action extérieure de l'État;151;02;Accès des élèves français au réseau AEFE;0;;125 540 000;115 500 000;0;115 500 000;125 540 000;115 500 000;0;115 500 000;;;;;;;;
Action extérieure de l'État;151;03;Instruction des demandes de visa;0;;48 056 543;49 564 498;0;49 564 498;48 056 543;49 564 498;0;49 564 498;;;;;;;;
Action extérieure de l'État;185;01;Animation du réseau;0;;44 071 952;42 757 684;0;42 757 684;44 071 952;42 757 684;0;42 757 684;;;;;;;;
Action extérieure de l'État;185;02;Coopération culturelle et promotion du français;0;;68 834 649;65 881 291;0;65 881 291;68 834 649;65 881 291;0;65 881 291;;;;;;;;
