Gestion;2016;;;;;;;;;;;;;;;;;;;;
Type Budget;(Plusieurs éléments);;;;;;;;;;;;;;;;;;;;
;;;;;;Données;;;;;;;;;;;;;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2015;AEPLF;AEAMT;AELF; CPLF 2015; CPPLF;CPAMT;CPLF;;;;;;;;
Accords monétaires internationaux;811;01;Relations avec l'Union monétaire ouest-africaine;0;;0;0;0;0;0;0;0;0;;;;;;;;
Accords monétaires internationaux;812;01;Relations avec l'Union monétaire d'Afrique centrale;0;;0;0;0;0;0;0;0;0;;;;;;;;
Accords monétaires internationaux;813;01;Relations avec l'Union des Comores;0;;0;0;0;0;0;0;0;0;;;;;;;;
Aides à l'acquisition de véhicules propres;791;01;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;0;;214 150 000;236 000 000;0;236 000 000;214 150 000;236 000 000;0;236 000 000;;;;;;;;
Aides à l'acquisition de véhicules propres;792;01;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;0;;28 000 000;30 000 000;0;30 000 000;28 000 000;30 000 000;0;30 000 000;;;;;;;;
Avances à divers services de l'État ou organismes gérant des services publics;821;01;Avances au titre du préfinancement des aides communautaires de la politique agricole commune;0;;7 200 000 000;7 200 000 000;0;7 200 000 000;7 200 000 000;7 200 000 000;0;7 200 000 000;;;;;;;;
Avances à divers services de l'État ou organismes gérant des services publics;823;01;Avances à des organismes distincts de l'État et gérant des services publics;0;;56 000 000;56 000 000;0;56 000 000;56 000 000;56 000 000;0;56 000 000;;;;;;;;
Avances à divers services de l'État ou organismes gérant des services publics;824;01;Avances au budget annexe « Contrôle et exploitation aériens »;0;;167 856 329;112 612 547;0;112 612 547;167 856 329;112 612 547;0;112 612 547;;;;;;;;
Avances à divers services de l'État ou organismes gérant des services publics;825;01;Avances à l'ONIAM au titre de l'indemnisation des victimes du Benfluorex;0;;15 000 000;15 000 000;0;15 000 000;15 000 000;15 000 000;0;15 000 000;;;;;;;;
Avances à l'audiovisuel public;841;01;France Télévisions;0;;2 369 360 683;2 494 733 089;0;2 494 733 089;2 369 360 683;2 494 733 089;0;2 494 733 089;;;;;;;;
Avances à l'audiovisuel public;842;01;ARTE France;0;;267 249 469;269 801 969;0;269 801 969;267 249 469;269 801 969;0;269 801 969;;;;;;;;
Avances à l'audiovisuel public;843;01;Radio France;0;;614 392 236;619 497 236;0;619 497 236;614 392 236;619 497 236;0;619 497 236;;;;;;;;
Avances à l'audiovisuel public;844;01;France Médias Monde;0;;247 082 000;249 124 000;0;249 124 000;247 082 000;249 124 000;0;249 124 000;;;;;;;;
Avances à l'audiovisuel public;845;01;Institut national de l'audiovisuel;0;;90 869 000;90 869 000;0;90 869 000;90 869 000;90 869 000;0;90 869 000;;;;;;;;
Avances à l'audiovisuel public;847;01;TV5 Monde;0;;77 834 205;78 548 905;0;78 548 905;77 834 205;78 548 905;0;78 548 905;;;;;;;;
Avances aux collectivités territoriales;832;01;Avances de l'article 70 de la loi du 31 mars 1932 et de l'article L. 2336-1 du code général des collectivités territoriales;0;;6 000 000;6 000 000;0;6 000 000;6 000 000;6 000 000;0;6 000 000;;;;;;;;
Avances aux collectivités territoriales;832;02;Avances de l'article 14 de la loi n° 46-2921 du 23 décembre 1946 et de l'article L. 2236-2 du code général des collectivités territoriales;0;;0;0;0;0;0;0;0;0;;;;;;;;
Avances aux collectivités territoriales;832;03;Avances de l'article 34 de la loi n° 53-1336 du 31 décembre 1953 (avances spéciales sur recettes budgétaires);0;;0;0;0;0;0;0;0;0;;;;;;;;
Avances aux collectivités territoriales;832;04;Avances à la Nouvelle-Calédonie, au titre de la fiscalité du nickel;0;;0;0;0;0;0;0;0;0;;;;;;;;
Avances aux collectivités territoriales;833;01;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;0;;93 793 451 284;95 974 240 564;0;95 974 240 564;93 793 451 284;95 974 240 564;0;95 974 240 564;;;;;;;;
Avances aux collectivités territoriales;833;02;Avances aux départements sur le produit de la taxe intérieure de consommation sur les produits pétroliers;0;;5 880 850 162;5 877 904 311;0;5 877 904 311;5 880 850 162;5 877 904 311;0;5 877 904 311;;;;;;;;
Avances aux collectivités territoriales;833;03;Avances aux départements sur les frais de gestion de la taxe foncière sur les propriétés bâties;0;;874 432 324;906 427 651;0;906 427 651;874 432 324;906 427 651;0;906 427 651;;;;;;;;
Avances aux collectivités territoriales;833;04;Avances aux régions sur les frais de gestion de la contribution foncière des entreprises (CFE), de la contribution sur la valeur ajoutée des entreprises (CVAE) et de la taxe d'habitation (TH) et sur le produit de la taxe intérieure de consommation sur l;0;;917 678 742;954 866 917;0;954 866 917;917 678 742;954 866 917;0;954 866 917;;;;;;;;
Contrôle de la circulation et du stationnement routiers;751;01;Dispositifs de contrôle;0;;117 144 300;109 986 600;0;109 986 600;117 144 300;109 986 600;0;109 986 600;;;;;;;;
Contrôle de la circulation et du stationnement routiers;751;02;Centre national de traitement;0;;93 623 700;87 697 400;0;87 697 400;93 623 700;87 697 400;0;87 697 400;;;;;;;;
