GESTION;2017;;;;;;;;
TYPE BUDGET;Comptes d'affectation spéciale;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2016;AEPLF; CPLF 2016; CPPLF
Aides à l'acquisition de véhicules propres;791;1;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;;;236 001 000;320 000 000;236 001 000;320 000 000
Aides à l'acquisition de véhicules propres;792;1;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;;;60 000 000;27 000 000;60 000 000;27 000 000
Contrôle de la circulation et du stationnement routiers;751;1;Dispositifs de contrôle;;;104 736 600;131 500 000;104 736 600;131 500 000
Contrôle de la circulation et du stationnement routiers;751;2;Centre national de traitement;;;92 697 400;82 000 000;92 697 400;82 000 000
Contrôle de la circulation et du stationnement routiers;751;3;Soutien au programme;;;6 780 000;7 500 000;6 780 000;7 500 000
Contrôle de la circulation et du stationnement routiers;751;4;Fichier national du permis de conduire;;;0;28 000 000;0;28 000 000
Contrôle de la circulation et du stationnement routiers;753;1;Déploiement du procès-verbal électronique;;;26 200 000;26 200 000;26 200 000;26 200 000
Contrôle de la circulation et du stationnement routiers;754;1;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;;;672 030 557;664 790 165;672 030 557;664 790 165
Contrôle de la circulation et du stationnement routiers;755;1;Désendettement de l'État;;;440 541 249;438 776 184;440 541 249;438 776 184
Développement agricole et rural;775;1;Développement et transfert;;;70 453 250;70 453 250;70 453 250;70 453 250
Développement agricole et rural;775;2;Fonction support;;;100 000;100 000;100 000;100 000
Développement agricole et rural;776;1;Recherche appliquée et innovation;;;76 546 750;76 546 750;76 546 750;76 546 750
Développement agricole et rural;776;2;Fonction support;;;400 000;400 000;400 000;400 000
Financement des aides aux collectivités pour l'électrification rurale;793;3;Renforcement des réseaux;;;184 000 000;172 000 000;184 000 000;172 000 000
Financement des aides aux collectivités pour l'électrification rurale;793;4;Extension des réseaux;;;46 700 000;42 700 000;46 700 000;42 700 000
Financement des aides aux collectivités pour l'électrification rurale;793;5;Enfouissement et pose en façade;;;55 500 000;44 500 000;55 500 000;44 500 000
Financement des aides aux collectivités pour l'électrification rurale;793;6;Sécurisation des fils nus (hors faible section);;;39 000 000;51 000 000;39 000 000;51 000 000
Financement des aides aux collectivités pour l'électrification rurale;793;7;Sécurisation des fils nus de faible section;;;42 000 000;55 000 000;42 000 000;55 000 000
Financement des aides aux collectivités pour l'électrification rurale;793;8;Fonctionnement;;;1 400 000;1 400 000;1 400 000;1 400 000
Financement des aides aux collectivités pour l'électrification rurale;793;9;Déclaration d'utilité publique (Très haute tension);;;500 000;500 000;500 000;500 000
Financement des aides aux collectivités pour l'électrification rurale;793;10;Intempéries;;;500 000;2 500 000;500 000;2 500 000
Financement des aides aux collectivités pour l'électrification rurale;794;2;Sites isolés;;;2 000 000;2 000 000;2 000 000;2 000 000
Financement des aides aux collectivités pour l'électrification rurale;794;3;Installations de proximité en zone non interconnectée;;;4 000 000;4 000 000;4 000 000;4 000 000
Financement des aides aux collectivités pour l'électrification rurale;794;4;Maîtrise de la demande d'énergie;;;1 400 000;1 400 000;1 400 000;1 400 000
Financement des aides aux collectivités pour l'électrification rurale;794;5;Déclaration d'utilité publique (Très haute tension) - (Engagements antérieurs au 1er janvier 2013);;;0;0;0;0
Financement des aides aux collectivités pour l'électrification rurale;794;6;Intempéries - (Engagements antérieurs au 1er janvier 2013);;;0;0;0;0
Financement national du développement et de la modernisation de l'apprentissage;787;3;Répartition régionale de la ressource consacrée au développement de l'apprentissage;;;1 395 775 620;1 393 550 853;1 395 775 620;1 393 550 853
Financement national du développement et de la modernisation de l'apprentissage;790;1;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;;;95 077 114;179 689 222;95 077 114;179 689 222
Gestion du patrimoine immobilier de l'État;721;1;Contribution au désendettement de l'État;;;155 000 000;60 000 000;155 000 000;60 000 000
Gestion du patrimoine immobilier de l'État;723;11;Opérations structurantes et cessions;;;0;311 744 000;0;305 194 000
Gestion du patrimoine immobilier de l'État;723;12;Contrôles règlementaires, audits, expertises et diagnostiques;;;0;13 614 000;0;6 406 000
Gestion du patrimoine immobilier de l'État;723;13;Maintenance à la charge du propriétaire;;;0;17 964 000;0;20 166 000
Gestion du patrimoine immobilier de l'État;723;14;Gros entretien, réhabilitation, mise en conformité et remise en état;;;0;32 221 000;0;43 027 000
Gestion du patrimoine immobilier de l'État;724;11;Opérations structurantes et cessions;;;0;57 853 000;0;55 988 000
Gestion du patrimoine immobilier de l'État;724;12;Contrôles règlementaires, audits, expertises et diagnostiques;;;0;9 980 000;0;8 617 000
Gestion du patrimoine immobilier de l'État;724;13;Maintenance à la charge du propriétaire;;;0;44 214 000;0;39 154 000
Gestion du patrimoine immobilier de l'État;724;14;Gros entretien, réhabilitation, mise en conformité et remise en état;;;0;46 026 000;0;46 448 000
Participation de la France au désendettement de la Grèce;795;1;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus en compte propre;;;0;0;92 600 000;56 000 000
Participation de la France au désendettement de la Grèce;795;2;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus au titre du portefeuille dit SMP;;;233 000 000;183 000 000;233 000 000;183 000 000
Participation de la France au désendettement de la Grèce;796;1;Rétrocessions de trop-perçus à la Banque de France;;;0;0;0;0
Participations financières de l'État;731;1;Augmentations de capital, dotations en fonds propres, avances d'actionnaire et prêts assimilés;;;2 248 000 000;6 390 000 000;2 248 000 000;6 390 000 000
Participations financières de l'État;731;3;Achats ou souscriptions de titres, parts ou droits de société;;;321 000 000;0;321 000 000;0
Participations financières de l'État;731;4;Autres investissements financiers de nature patrimoniale;;;10 000 000;10 000 000;10 000 000;10 000 000
Participations financières de l'État;731;5;Prestations de services : commissions bancaires, frais juridiques et frais liés aux opérations de gestion des participations financières de l'État;;;100 000 000;100 000 000;100 000 000;100 000 000
Participations financières de l'État;731;6;Versements au profit du Mécanisme européen de stabilité;;;0;0;0;0
Participations financières de l'État;732;1;Désendettement de l'État ou d'établissements publics de l'État;;;2 000 000 000;0;2 000 000 000;0
Pensions;741;1;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;;;43 181 700 000;43 699 400 000;43 181 700 000;43 699 400 000
Pensions;741;2;Militaires relevant du code des pensions civiles et militaires de retraite;;;9 972 500 000;9 986 500 000;9 972 500 000;9 986 500 000
Pensions;741;3;Allocations temporaires d'invalidité;;;143 100 000;138 800 000;143 100 000;138 800 000
Pensions;742;1;Prestations vieillesse et invalidité;;;1 850 900 000;1 821 000 000;1 850 900 000;1 821 000 000
Pensions;742;3;Autres dépenses spécifiques;;;1 252 000;2 455 000;1 252 000;2 455 000
