GESTION;2018;;;;;;;;
TYPE BUDGET;Comptes d'affectation spéciale;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2017;AEPLF; CPLF 2017; CPPLF
Aides à l'acquisition de véhicules propres;791;01;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;;;320 000 000;261 000 000;320 000 000;261 000 000
Aides à l'acquisition de véhicules propres;792;01;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;;;27 000 000;127 000 000;27 000 000;127 000 000
Contrôle de la circulation et du stationnement routiers;751;01;Dispositifs de contrôle;;;131 500 000;178 153 220;131 500 000;178 153 220
Contrôle de la circulation et du stationnement routiers;751;02;Centre national de traitement;;;82 000 000;82 000 000;82 000 000;82 000 000
Contrôle de la circulation et du stationnement routiers;751;03;Soutien au programme;;;7 500 000;16 100 000;7 500 000;16 100 000
Contrôle de la circulation et du stationnement routiers;751;04;Fichier national du permis de conduire;;;28 000 000;31 580 000;28 000 000;31 580 000
Contrôle de la circulation et du stationnement routiers;753;01;Déploiement du procès-verbal électronique;;;26 200 000;26 200 000;26 200 000;26 200 000
Contrôle de la circulation et du stationnement routiers;754;01;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;;;664 790 165;516 557 675;664 790 165;516 557 675
Contrôle de la circulation et du stationnement routiers;755;01;Désendettement de l'État;;;438 776 184;486 570 013;438 776 184;486 570 013
Développement agricole et rural;775;01;Développement et transfert;;;70 453 250;64 900 000;70 453 250;64 900 000
Développement agricole et rural;775;02;Fonction support;;;100 000;100 000;100 000;100 000
Développement agricole et rural;776;01;Recherche appliquée et innovation;;;76 546 750;70 700 000;76 546 750;70 700 000
Développement agricole et rural;776;02;Fonction support;;;400 000;300 000;400 000;300 000
Financement des aides aux collectivités pour l'électrification rurale;793;03;Renforcement des réseaux;;;172 000 000;164 200 000;172 000 000;164 200 000
Financement des aides aux collectivités pour l'électrification rurale;793;04;Extension des réseaux;;;42 700 000;40 800 000;42 700 000;40 800 000
Financement des aides aux collectivités pour l'électrification rurale;793;05;Enfouissement et pose en façade;;;44 500 000;42 500 000;44 500 000;42 500 000
Financement des aides aux collectivités pour l'électrification rurale;793;06;Sécurisation des fils nus (hors faible section);;;51 000 000;48 700 000;51 000 000;48 700 000
Financement des aides aux collectivités pour l'électrification rurale;793;07;Sécurisation des fils nus de faible section;;;55 000 000;52 500 000;55 000 000;52 500 000
Financement des aides aux collectivités pour l'électrification rurale;793;08;Fonctionnement;;;1 400 000;1 200 000;1 400 000;1 200 000
Financement des aides aux collectivités pour l'électrification rurale;793;09;Déclaration d'utilité publique (Très haute tension);;;500 000;500 000;500 000;500 000
Financement des aides aux collectivités pour l'électrification rurale;793;10;Intempéries;;;2 500 000;2 400 000;2 500 000;2 400 000
Financement des aides aux collectivités pour l'électrification rurale;794;02;Sites isolés;;;2 000 000;1 900 000;2 000 000;1 900 000
Financement des aides aux collectivités pour l'électrification rurale;794;03;Installations de proximité en zone non interconnectée;;;4 000 000;4 000 000;4 000 000;4 000 000
Financement des aides aux collectivités pour l'électrification rurale;794;04;Maîtrise de la demande d'énergie;;;1 400 000;1 300 000;1 400 000;1 300 000
Financement des aides aux collectivités pour l'électrification rurale;794;05;Déclaration d'utilité publique (Très haute tension) - (Engagements antérieurs au 1er janvier 2013);;;;;;
Financement des aides aux collectivités pour l'électrification rurale;794;06;Intempéries - (Engagements antérieurs au 1er janvier 2013);;;;;;
Financement national du développement et de la modernisation de l'apprentissage;787;03;Répartition régionale de la ressource consacrée au développement de l'apprentissage;;;1 393 550 853;1 389 937 832;1 393 550 853;1 389 937 832
Financement national du développement et de la modernisation de l'apprentissage;790;01;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;;;179 689 222;242 794 452;179 689 222;242 794 452
Gestion du patrimoine immobilier de l'État;721;01;Contribution au désendettement de l'État;;;60 000 000;0;60 000 000;0
Gestion du patrimoine immobilier de l'État;723;11;Opérations structurantes et cessions;;;369 597 000;364 630 641;361 182 000;421 700 000
Gestion du patrimoine immobilier de l'État;723;12;Contrôles règlementaires, audits, expertises et diagnostics;;;23 594 000;24 000 000;15 023 000;24 000 000
