Type de mission;Code type de mission;Mission;Code mission;Programme;Code programme;Action;Code action;Sous-action;Code sous-action;Autorisations d'engagement;Crédits de paiement
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Administration de  la dette viagère;1;Pensions militaires d'invalidité de victimes de guerre et allocations rattachées;10;1147350000;1147350000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Administration de  la dette viagère;1;Retraite du combattant;11;748500000;748500000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Gestion  des droits liés aux pensions militaires d'invalidité;2;Soins médicaux gratuits et appareillage des mutilés;21;56300000;56300000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Gestion  des droits liés aux pensions militaires d'invalidité;2;Remboursement des réductions de transport accordées aux invalides;22;3200000;3200000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Gestion  des droits liés aux pensions militaires d'invalidité;2;Remboursement des prestations de sécurité sociale aux invalides;23;85200000;85200000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;Fonds de solidarité pour les anciens combattants d'Afrique du Nord et d'Indochine;30;0;0
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;Majoration des rentes mutualistes des anciens combattants et victimes de guerre;31;253500000;253500000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;Subventions aux associations et oeuvres diverses;32;260000;260000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;Indemnités, pécules et frais de voyages sur les tombes;33;110000;110000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;Action sociale en faveur du monde combattant : Office national des anciens combattants (ONAC);34;26400000;26400000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;Office national des anciens combattants (ONAC) : subventions;35;56801489;56801489
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;Institution nationale des invalides : subventions;36;17089143;12089143
Budget général;1;Défense;DA;Environnement et prospective de la politique de défense;144;Recherche et exploitation du renseignement intéressant la sécurité de la France;3;Renseignement extérieur;31;310532501;243832501
Budget général;1;Défense;DA;Environnement et prospective de la politique de défense;144;Recherche et exploitation du renseignement intéressant la sécurité de la France;3;Renseignement de sécurité de défense;32;13536615;13536615
Budget général;1;Défense;DA;Environnement et prospective de la politique de défense;144;Prospective de défense;7;Analyse stratégique;1;4568308;6201641
Budget général;1;Défense;DA;Environnement et prospective de la politique de défense;144;Prospective de défense;7;Prospective des systèmes de forces;2;21315050;21315050
Budget général;1;Défense;DA;Environnement et prospective de la politique de défense;144;Prospective de défense;7;Etudes amont;3;856740000;720434123
Budget général;1;Défense;DA;Environnement et prospective de la politique de défense;144;Prospective de défense;7;Gestion des moyens et subventions;4;281278527;286828527
Budget général;1;Défense;DA;Équipement des forces;146;Dissuasion;6;Assurer la crédibilité technique de la dissuasion M51;14;199589290;582125402
Budget général;1;Défense;DA;Équipement des forces;146;Dissuasion;6;Assurer la crédibilité technique de la dissuasion SNLE NG : adaptation M51;15;0;219214730
Budget général;1;Défense;DA;Équipement des forces;146;Dissuasion;6;Assurer la crédibilité technique de la dissuasion - Air sol moyenne portée amélioré (ASMPA);17;108939719;62008395
Budget général;1;Défense;DA;Équipement des forces;146;Dissuasion;6;Assurer la crédibilité technique de la dissuasion Simulation;18;501775783;528157899
Budget général;1;Défense;DA;Équipement des forces;146;Dissuasion;6;Assurer la crédibilité technique de la dissuasion - Autres opérations;19;645361966;649850323
Budget général;1;Défense;DA;Équipement des forces;146;Dissuasion;6;Assurer la crédibilité opérationnelle de la dissuasion - soutien et mise en oeuvre des forces - toutes opérations;22;778075703;746494453
Budget général;1;Défense;DA;Équipement des forces;146;Dissuasion;6;Assurer la crédibilité technique de la posture - toutes opérations;23;143435053;256633996
Budget général;1;Défense;DA;Équipement des forces;146;Dissuasion;6;Assurer la crédibilité technique de la dissuasion  SNLE 3G;24;0;117733692
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Commander et conduire - Système de commandement et de conduite des opérations aériennes (SCCOA);24;41900000;222216996
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Commander et conduire - Système d'information TERRE;25;7260000;52345333
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Commander et conduire - Géographie numérique;27;281349040;55317486
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Commander et conduire - Autres opérations;28;258624322;37500607
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Commander et conduire - Système d'information des armées (SIA);29;0;100293242
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Communiquer - Moyens de communication satellitaire;32;578553000;193518629
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Communiquer - Autres opérations;35;242672800;256669837
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Communiquer - CONTACT;36;0;150948997
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Renseigner, surveiller, acquérir et reconnaître - Autres opérations;39;68271786;345392723
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Renseigner, surveiller, acquérir et reconnaître - MUSIS;40;0;138066345
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Communiquer - DESCARTES;41;0;48589084
Budget général;1;Défense;DA;Équipement des forces;146;Commandement et maîtrise de l'information;7;Renseigner, surveiller, acquérir et reconnaître - CERES;42;0;70134546
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Projeter les forces - Avion de transport futur (A400M);42;57923333;325774240
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Projeter les forces - Autres opérations;43;180649126;203787748
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Assurer la mobilité - Rénovation Cougar;46;0;31594801
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Assurer la mobilité - Hélicoptère NH 90;47;0;337029587
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Assurer la mobilité - Autres opérations;48;347689121;77766016
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Maintenir le potentiel ami et autre - Porteur polyvalent terrestre (PPT);51;0;78221603
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Maintenir le potentiel ami et autre - Autres opérations;53;29616794;49779100
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Maintenir le potentiel ami et autre - MRTT;55;0;180806077
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Frapper à distance - Missile de croisière naval (MDCN);56;0;57861799
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Frapper à distance - RAFALE;59;59330489;482997888
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Frapper à distance - Autres opérations;61;68209571;293634798
