Type de mission;Code type de mission;Mission;Code mission;Programme;Code programme;Action;Code action;Autorisations d'engagement;Crédits de paiement
Budget général;BG;Action et transformation publiques;TR;Rénovation des cités administratives et autres sites domaniaux multi-occupants;348;Etudes;11;20 000 000;20 000 000
Budget général;BG;Action et transformation publiques;TR;Rénovation des cités administratives et autres sites domaniaux multi-occupants;348;Travaux et gros entretien à la charge du propriétaire;12;465 000 000;47 000 000
Budget général;BG;Action et transformation publiques;TR;Rénovation des cités administratives et autres sites domaniaux multi-occupants;348;Acquisitions, construction;13;415 000 000;33 000 000
Budget général;BG;Action et transformation publiques;TR;Fonds pour la transformation de l'action publique;349;Fonds pour la transformation de laction publique;1;250 000 000;160 000 000
Budget général;BG;Action et transformation publiques;TR;Fonds d'accompagnement interministériel Ressources humaines;351;Accompagnement interministériel Ressources humaines;1;50 000 000;50 000 000
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Coordination de l'action diplomatique;1;99 882 328;99 882 328
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Action européenne;2;54 377 128;54 377 128
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Contributions internationales;4;682 841 551;683 841 551
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Coopération de sécurité et de défense;5;104 042 762;104 042 762
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Soutien;6;224 271 811;222 093 475
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Réseau diplomatique;7;610 592 015;610 133 284
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Appui au réseau;1;41 101 383;41 101 383
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Coopération culturelle et promotion du français;2;67 015 315;67 015 315
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Objectifs de développement durable;3;3 372 754;3 372 754
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Enseignement supérieur et recherche;4;94 578 610;94 578 610
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Agence pour l'enseignement français à l'étranger;5;384 006 841;384 006 841
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Dépenses de personnel concourant au programme "Diplomatie culturelle et d'influence";6;74 235 198;74 235 198
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Diplomatie économique et développement du tourisme;7;35 261 020;35 261 020
Budget général;BG;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Offre d'un service public de qualité aux Français à l'étranger;1;214 170 044;214 170 044
Budget général;BG;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Accès des élèves français au réseau AEFE;2;105 300 000;105 300 000
Budget général;BG;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Instruction des demandes de visa;3;54 770 324;54 770 324
Budget général;BG;Action extérieure de l'État;AA;Présidence française du G7;347;Préparation et organisation du Sommet du G7;1;20 628 000;23 008 000
Budget général;BG;Action extérieure de l'État;AA;Présidence française du G7;347;Fonctionnement du Secrétariat général et communication;3;1 372 000;1 392 000
Budget général;BG;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Coordination de la sécurité des personnes et des biens;1;172 538 112;172 538 112
