Mission;Code Programme;Programme;AE Titre 2;AE autres titres;Total AE;CP Titre 2;CP autres titres;Total CP
Justice;101;Accès au droit et à la justice;0;369 495 000;369 495 000;0;369 495 000;369 495 000
Travail et emploi;102;Accès et retour à l'emploi;0;7 548 695 177;7 548 695 177;0;7 222 456 000;7 222 456 000
Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;0;3 691 151 661;3 691 151 661;0;2 914 088 721;2 914 088 721
Immigration, asile et intégration;104;Intégration et accès à la nationalité française;0;61 736 500;61 736 500;0;62 300 000;62 300 000
Action extérieure de l'État;105;Action de la France en Europe et dans le monde;608 299 346;1 236 341 792;1 844 641 138;608 299 346;1 243 741 792;1 852 041 138
Solidarité, insertion et égalité des chances;106;Actions en faveur des familles vulnérables;0;248 443 427;248 443 427;0;248 443 427;248 443 427
Justice;107;Administration pénitentiaire;2 016 815 793;832 986 254;2 849 802 047;2 016 815 793;1 220 116 966;3 236 932 759
Égalité des territoires, logement et ville;109;Aide à l'accès au logement;0;5 065 683 259;5 065 683 259;0;5 065 683 259;5 065 683 259
Aide publique au développement;110;Aide économique et financière au développement;0;2 365 654 044;2 365 654 044;0;1 115 423 479;1 115 423 479
Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;0;123 443 602;123 443 602;0;70 897 321;70 897 321
Politique des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;10 415 000;235 456 550;245 871 550;10 415 000;246 633 348;257 048 348
Écologie, développement et mobilité durables;113;Paysages, eau et biodiversité;0;279 680 934;279 680 934;0;278 549 954;278 549 954
Engagements financiers de l'État;114;Appels en garantie de l'État (crédits évaluatifs);0;208 400 000;208 400 000;0;208 400 000;208 400 000
Médias, livre et industries culturelles;115;Action audiovisuelle extérieure;0;152 137 827;152 137 827;0;152 137 827;152 137 827
Engagements financiers de l'État;117;Charge de la dette et trésorerie de l'État (crédits évaluatifs);0;46 654 000 000;46 654 000 000;0;46 654 000 000;46 654 000 000
Relations avec les collectivités territoriales;119;Concours financiers aux communes et groupements de communes;0;840 777 505;840 777 505;0;780 088 248;780 088 248
Relations avec les collectivités territoriales;120;Concours financiers aux départements;0;493 818 697;493 818 697;0;493 818 697;493 818 697
Relations avec les collectivités territoriales;121;Concours financiers aux régions;0;920 946 577;920 946 577;0;920 946 577;920 946 577
Relations avec les collectivités territoriales;122;Concours spécifiques et administration;0;386 989 497;386 989 497;0;398 995 322;398 995 322
Outre-mer;123;Conditions de vie outre-mer;0;743 953 466;743 953 466;0;672 704 148;672 704 148
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;769 192 625;744 717 595;1 513 910 220;769 192 625;767 297 595;1 536 490 220
Conseil et contrôle de l'État;126;Conseil économique, social et environnemental;32 740 217;9 865 000;42 605 217;32 740 217;5 715 000;38 455 217
Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;179 624 345;354 264 876;533 889 221;179 624 345;362 573 348;542 197 693
Culture;131;Création;0;725 794 659;725 794 659;0;746 473 653;746 473 653
Économie;134;Développement des entreprises et du tourisme;414 394 917;602 082 485;1 016 477 402;414 394 917;612 499 726;1 026 894 643
Égalité des territoires, logement et ville;135;Urbanisme, territoires et amélioration de l'habitat;0;579 941 631;579 941 631;0;406 870 131;406 870 131
Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;0;24 264 378;24 264 378;0;24 264 378;24 264 378
Outre-mer;138;Emploi outre-mer;144 876 834;1 259 071 506;1 403 948 340;144 876 834;1 242 773 006;1 387 649 840
Enseignement scolaire;139;Enseignement privé du premier et du second degrés;6 368 226 619;741 603 170;7 109 829 789;6 368 226 619;741 603 170;7 109 829 789
Enseignement scolaire;140;Enseignement scolaire public du premier degré;19 238 478 624;36 068 143;19 274 546 767;19 238 478 624;36 068 143;19 274 546 767
Enseignement scolaire;141;Enseignement scolaire public du second degré;30 382 158 053;109 465 890;30 491 623 943;30 382 158 053;109 465 890;30 491 623 943
Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;190 912 756;121 528 446;312 441 202;190 912 756;121 528 446;312 441 202
Enseignement scolaire;143;Enseignement technique agricole;863 089 457;481 481 808;1 344 571 265;863 089 457;481 481 808;1 344 571 265
Défense;144;Environnement et prospective de la politique de défense;644 362 511;1 335 178 903;1 979 541 414;644 362 511;1 335 057 799;1 979 420 310
Engagements financiers de l'État;145;Épargne;0;568 939 591;568 939 591;0;569 072 591;569 072 591
Défense;146;Équipement des forces;1 920 557 202;10 272 646 884;12 193 204 086;1 920 557 202;8 368 851 691;10 289 408 893
Égalité des territoires, logement et ville;147;Politique de la ville;0;492 688 099;492 688 099;0;481 400 000;481 400 000
Gestion des finances publiques et des ressources humaines;148;Fonction publique;250 000;200 599 459;200 849 459;250 000;206 040 265;206 290 265
Agriculture, alimentation, forêt et affaires rurales;149;Forêt;0;320 872 851;320 872 851;0;338 237 420;338 237 420
Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;581 229 257;11 977 668 266;12 558 897 523;581 229 257;12 221 989 933;12 803 219 190
Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;218 893 794;156 647 000;375 540 794;218 893 794;156 647 000;375 540 794
Sécurités;152;Gendarmerie nationale;6 819 507 080;1 138 809 390;7 958 316 470;6 819 507 080;1 213 854 981;8 033 362 061
Agriculture, alimentation, forêt et affaires rurales;154;Économie et développement durable de l'agriculture et des territoires;0;1 457 885 685;1 457 885 685;0;1 632 022 565;1 632 022 565
Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;639 949 988;136 524 783;776 474 771;639 949 988;146 595 186;786 545 174
Gestion des finances publiques et des ressources humaines;156;Gestion fiscale et financière de l'État et du secteur public local;7 168 034 490;1 398 133 381;8 566 167 871;7 168 034 490;1 193 598 381;8 361 632 871
Solidarité, insertion et égalité des chances;157;Handicap et dépendance;0;11 441 442 753;11 441 442 753;0;11 441 442 753;11 441 442 753
Anciens combattants, mémoire et liens avec la nation;158;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;1 626 492;102 990 761;104 617 253;1 626 492;102 390 761;104 017 253
Écologie, développement et mobilité durables;159;Information géographique et cartographique;0;96 960 029;96 960 029;0;96 960 029;96 960 029
Sécurités;161;Sécurité civile;162 859 008;427 468 184;590 327 192;162 859 008;275 825 500;438 684 508
Politique des territoires;162;Interventions territoriales de l'État;0;37 128 295;37 128 295;0;38 329 275;38 329 275
Sport, jeunesse et vie associative;163;Jeunesse et vie associative;0;229 300 000;229 300 000;0;229 300 000;229 300 000
Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;188 053 319;26 875 381;214 928 700;188 053 319;28 214 840;216 268 159
Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;310 324 453;76 080 000;386 404 453;310 324 453;64 630 000;374 954 453
Justice;166;Justice judiciaire;2 161 795 319;1 026 541 094;3 188 336 413;2 161 795 319;954 742 741;3 116 538 060
Anciens combattants, mémoire et liens avec la nation;167;Liens entre la Nation et son armée;75 191 815;37 949 281;113 141 096;75 191 815;41 949 281;117 141 096
Engagements financiers de l'État;168;Majoration de rentes;0;171 000 000;171 000 000;0;171 000 000;171 000 000
Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;0;2 760 341 590;2 760 341 590;0;2 760 341 590;2 760 341 590
Écologie, développement et mobilité durables;170;Météorologie;0;208 561 233;208 561 233;0;208 561 233;208 561 233
Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;0;5 061 652 242;5 061 652 242;0;5 061 652 242;5 061 652 242
Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;0;592 228 252;592 228 252;0;597 488 576;597 488 576
Culture;175;Patrimoines;0;760 668 036;760 668 036;0;746 150 359;746 150 359
Sécurités;176;Police nationale;8 713 365 260;886 991 341;9 600 356 601;8 713 365 260;941 262 983;9 654 628 243
Égalité des territoires, logement et ville;177;Prévention de l'exclusion et insertion des personnes vulnérables;0;1 313 268 421;1 313 268 421;0;1 313 268 421;1 313 268 421
Défense;178;Préparation et emploi des forces;15 245 511 131;7 443 939 927;22 689 451 058;15 245 511 131;6 957 702 874;22 203 214 005
Médias, livre et industries culturelles;180;Presse;0;258 076 014;258 076 014;0;258 076 014;258 076 014
Écologie, développement et mobilité durables;181;Prévention des risques;40 676 477;345 293 043;385 969 520;40 676 477;212 508 315;253 184 792
Justice;182;Protection judiciaire de la jeunesse;455 632 505;325 637 984;781 270 489;455 632 505;329 637 984;785 270 489
Santé;183;Protection maladie;0;605 000 000;605 000 000;0;605 000 000;605 000 000
Action extérieure de l'État;185;Diplomatie culturelle et d'influence;79 638 228;645 083 804;724 722 032;79 638 228;645 083 804;724 722 032
Recherche et enseignement supérieur;186;Recherche culturelle et culture scientifique;0;112 590 972;112 590 972;0;114 490 972;114 490 972
Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;0;1 277 577 911;1 277 577 911;0;1 277 577 911;1 277 577 911
Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;0;1 387 505 166;1 387 505 166;0;1 397 505 166;1 397 505 166
Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);0;192 868 745;192 868 745;0;192 868 745;192 868 745
Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;101 080 405;869 722 489;970 802 894;101 080 405;890 855 742;991 936 147
Recherche et enseignement supérieur;193;Recherche spatiale;0;1 431 108 560;1 431 108 560;0;1 431 108 560;1 431 108 560
Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;0;1 556 752 232;1 556 752 232;0;1 556 752 232;1 556 752 232
Régimes sociaux et de retraite;197;Régimes de retraite et de sécurité sociale des marins;0;825 497 543;825 497 543;0;825 497 543;825 497 543
Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;0;4 152 039 599;4 152 039 599;0;4 152 039 599;4 152 039 599
