"Code Ministère","Ministère","Mission","Code Programme","Nom Programme","Code Action","Nom Action","Code Titre","Nom Titre","AELF 2013","AEPLF 2014","AELFi 2014","CPLF 2013","CPPLF 2014","CPLFi 2014"
"1","Affaires étrangères","Action extérieure de l'État","105","Action de la France en Europe et dans le monde","1","Coordination de l'action diplomatique","2","dépenses de personnel","61044798","62770946","62770946","61044798","62770946","62770946"
"1","Affaires étrangères","Action extérieure de l'État","105","Action de la France en Europe et dans le monde","2","Action européenne","2","dépenses de personnel","9609087","9963008","9963008","9609087","9963008","9963008"
"1","Affaires étrangères","Action extérieure de l'État","105","Action de la France en Europe et dans le monde","5","Coopération de sécurité et de défense","2","dépenses de personnel","58462045","63741969","63741969","58462045","63741969","63741969"
"1","Affaires étrangères","Action extérieure de l'État","105","Action de la France en Europe et dans le monde","6","Soutien","2","dépenses de personnel","109429225","112668218","112668218","109429225","112668218","112668218"
"1","Affaires étrangères","Action extérieure de l'État","105","Action de la France en Europe et dans le monde","7","Réseau diplomatique","2","dépenses de personnel","349089186","359155205","359155205","349089186","359155205","359155205"
"1","Affaires étrangères","Action extérieure de l'État","151","Français à l'étranger et affaires consulaires","1","Offre d'un service public de qualité aux Français à l'étranger","2","dépenses de personnel","167115109","172949200","172949200","167115109","172949200","172949200"
"1","Affaires étrangères","Action extérieure de l'État","151","Français à l'étranger et affaires consulaires","3","Instruction des demandes de visa","2","dépenses de personnel","45379858","45944594","45944594","45379858","45944594","45944594"
"1","Affaires étrangères","Action extérieure de l'État","185","Diplomatie culturelle et d'influence","1","Animation du réseau","2","dépenses de personnel","0","0","0","0","0","0"
"1","Affaires étrangères","Action extérieure de l'État","185","Diplomatie culturelle et d'influence","6","Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""","2","dépenses de personnel","82172206","79638228","79638228","82172206","79638228","79638228"
"1","Affaires étrangères","Action extérieure de l'État","105","Action de la France en Europe et dans le monde","1","Coordination de l'action diplomatique","3","dépenses de fonctionnement","24971363","22870166","22870166","24971363","22870166","22870166"
"1","Affaires étrangères","Action extérieure de l'État","105","Action de la France en Europe et dans le monde","2","Action européenne","3","dépenses de fonctionnement","35000","35000","35000","35000","35000","35000"
"1","Affaires étrangères","Action extérieure de l'État","105","Action de la France en Europe et dans le monde","5","Coopération de sécurité et de défense","3","dépenses de fonctionnement","5676661","5432503","5432503","5676661","5432503","5432503"
"1","Affaires étrangères","Action extérieure de l'État","105","Action de la France en Europe et dans le monde","6","Soutien","3","dépenses de fonctionnement","110637689","111633113","111633113","115533689","116583113","116583113"
"1","Affaires étrangères","Action extérieure de l'État","105","Action de la France en Europe et dans le monde","7","Réseau diplomatique","3","dépenses de fonctionnement","202934006","212976795","212976795","202934006","212976795","212976795"
"1","Affaires étrangères","Action extérieure de l'État","151","Français à l'étranger et affaires consulaires","1","Offre d'un service public de qualité aux Français à l'étranger","3","dépenses de fonctionnement","14361800","18035000","18035000","14361800","18035000","18035000"
"1","Affaires étrangères","Action extérieure de l'État","185","Diplomatie culturelle et d'influence","1","Animation du réseau","3","dépenses de fonctionnement","46156343","42838905","42838905","46156343","42838905","42838905"
"1","Affaires étrangères","Action extérieure de l'État","185","Diplomatie culturelle et d'influence","2","Coopération culturelle et promotion du français","3","dépenses de fonctionnement","43714309","40809871","40809871","43714309","40809871","40809871"
