Gestion;2015;;;;;;;;
Type Budget;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2014;AEPLF; CPLF 2014; CPPLF
Action extérieure de l'État;105;1;Coordination de l'action diplomatique;0;;87 958 112;82 729 358;87 958 112;82 729 358
Action extérieure de l'État;105;2;Action européenne;0;;49 790 333;49 428 699;49 790 333;49 428 699
Action extérieure de l'État;105;4;Contributions internationales;0;;799 105 555;756 277 501;799 105 555;756 277 501
Action extérieure de l'État;105;5;Coopération de sécurité et de défense;0;;94 321 357;93 763 570;94 321 357;93 763 570
Action extérieure de l'État;105;6;Soutien;0;;229 337 164;230 623 705;236 737 164;235 588 705
Action extérieure de l'État;105;7;Réseau diplomatique;0;;579 987 000;581 877 313;579 987 000;581 877 313
Action extérieure de l'État;151;1;Offre d'un service public de qualité aux Français à l'étranger;0;;211 255 969;200 200 705;211 255 969;200 200 705
Action extérieure de l'État;151;2;Accès des élèves français au réseau AEFE;0;;118 812 000;125 500 000;118 812 000;125 500 000
Action extérieure de l'État;151;3;Instruction des demandes de visa;0;;45 944 594;48 056 543;45 944 594;48 056 543
Action extérieure de l'État;185;1;Animation du réseau;0;;44 280 002;43 980 917;44 280 002;43 980 917
Action extérieure de l'État;185;2;Coopération culturelle et promotion du français;0;;74 199 735;67 314 899;74 199 735;67 314 899
Action extérieure de l'État;185;3;Enjeux globaux;0;;8 784 800;8 643 800;8 784 800;8 643 800
Action extérieure de l'État;185;4;Attractivité et recherche;0;;101 296 167;106 233 188;101 296 167;106 233 188
Action extérieure de l'État;185;5;Agence pour l'enseignement français à l'étranger;0;;417 337 600;408 164 838;417 337 600;408 164 838
Action extérieure de l'État;185;6;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";0;;79 631 819;80 790 050;79 631 819;80 790 050
Action extérieure de l'État;185;7;Développement international – Tourisme;0;;0;30 380 000;0;30 380 000
Action extérieure de l'État;341;1;Préparation et suivi de la COP21;0;;0;20 500 000;0;19 000 000
Action extérieure de l'État;341;2;Organisation de la COP21;0;;0;151 000 000;0;16 900 000
Action extérieure de l'État;341;3;Accueil des délégations étrangères;0;;0;7 500 000;0;7 500 000
Administration générale et territoriale de l'État;216;1;État-major et services centraux;0;;382 108 553;342 311 079;382 502 436;342 311 078
Administration générale et territoriale de l'État;216;3;Système d'information et de communication;0;;50 428 225;47 828 596;50 208 225;47 828 596
Administration générale et territoriale de l'État;216;4;Action sociale et formation;0;;36 456 568;36 638 614;36 456 568;36 638 614
Administration générale et territoriale de l'État;216;5;Affaires immobilières;0;;213 850 267;85 950 957;112 417 430;125 900 073
Administration générale et territoriale de l'État;216;6;Affaires juridiques et contentieuses;0;;77 446 463;77 446 463;77 446 463;77 446 463
Administration générale et territoriale de l'État;216;8;Immigration, asile et intégration;0;;41 343 819;39 401 382;41 343 819;39 401 382
Administration générale et territoriale de l'État;216;9;Sécurité et éducation routières;0;;80 894 568;89 316 997;80 894 568;89 316 997
Administration générale et territoriale de l'État;232;1;Financement des partis;0;;68 670 671;58 342 272;68 670 671;58 342 272
Administration générale et territoriale de l'État;232;2;Organisation des élections;0;;236 564 342;236 376 000;236 050 130;235 980 000
Administration générale et territoriale de l'État;232;3;Commission nationale des comptes de campagne et des financements politiques;0;;4 895 572;5 589 749;6 050 523;6 744 700
Administration générale et territoriale de l'État;232;4;Cultes;0;;2 114 700;1 936 037;2 114 700;1 936 037
Administration générale et territoriale de l'État;232;5;Vie associative;0;;79 167;75 000;79 167;75 000
Administration générale et territoriale de l'État;307;1;Coordination de la sécurité des personnes et des biens;0;;174 105 039;162 381 999;174 105 039;162 381 999
Administration générale et territoriale de l'État;307;2;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres;0;;636 672 630;640 040 057;636 672 630;640 040 057
Administration générale et territoriale de l'État;307;3;Contrôle de légalité et conseil aux collectivités territoriales;0;;157 907 728;149 171 822;157 907 728;149 171 822
Administration générale et territoriale de l'État;307;4;Pilotage territorial des politiques gouvernementales;0;;530 665 143;541 082 453;530 665 143;541 082 453
Administration générale et territoriale de l'État;307;5;Animation et soutien du réseau;0;;227 600 888;225 831 027;225 940 906;225 038 027
Agriculture, alimentation, forêt et affaires rurales;149;11;Gestion des forêts publiques et protection de la forêt;0;;240 061 785;218 248 048;244 065 443;222 251 706
Agriculture, alimentation, forêt et affaires rurales;149;12;Développement économique de la filière et gestion durable;0;;66 450 332;50 404 332;68 655 287;52 609 287
Agriculture, alimentation, forêt et affaires rurales;149;13;Fonds stratégique de la forêt et du bois;0;;10 667 234;10 667 234;21 823 190;21 823 190
Agriculture, alimentation, forêt et affaires rurales;154;11;Adaptation des filières à l'évolution des marchés;0;;236 399 008;167 195 334;298 429 246;169 442 578
Agriculture, alimentation, forêt et affaires rurales;154;12;Gestion des crises et des aléas de la production;0;;28 548 666;27 718 666;28 540 399;27 718 666
Agriculture, alimentation, forêt et affaires rurales;154;13;Appui au renouvellement et à la modernisation des exploitations agricoles;0;;133 060 128;149 500 000;225 799 701;177 042 300
Agriculture, alimentation, forêt et affaires rurales;154;14;Gestion équilibrée et durable des territoires;0;;800 286 662;997 213 024;819 661 998;763 248 024
Agriculture, alimentation, forêt et affaires rurales;154;15;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;0;;253 519 881;282 251 967;253 519 881;282 251 967
Agriculture, alimentation, forêt et affaires rurales;206;1;Prévention et gestion des risques inhérents à la production végétale;0;;22 812 209;22 567 515;22 812 209;22 567 515
Agriculture, alimentation, forêt et affaires rurales;206;2;Lutte contre les maladies animales et protection des animaux;0;;99 796 275;94 759 615;98 681 275;94 759 615
Agriculture, alimentation, forêt et affaires rurales;206;3;Prévention et gestion des risques sanitaires liés aux denrées alimentaires;0;;15 138 888;15 423 339;15 138 888;15 423 339
Agriculture, alimentation, forêt et affaires rurales;206;4;Actions transversales;0;;72 219 658;74 624 370;72 334 658;74 003 370
Agriculture, alimentation, forêt et affaires rurales;206;5;Elimination des cadavres et des sous-produits animaux;0;;2 200 000;2 900 000;3 200 000;4 200 000
Agriculture, alimentation, forêt et affaires rurales;206;6;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;0;;286 819 125;286 431 222;286 819 125;286 431 222
Agriculture, alimentation, forêt et affaires rurales;206;8;Qualité de l'alimentation et offre alimentaire;0;;4 156 000;3 865 430;4 156 000;3 865 430
Agriculture, alimentation, forêt et affaires rurales;215;1;Moyens de l'administration centrale;0;;204 822 727;204 159 049;211 263 127;209 785 385
Agriculture, alimentation, forêt et affaires rurales;215;2;Évaluation de l'impact des politiques publiques et information économique;0;;18 583 211;18 540 433;18 583 211;18 540 433
Agriculture, alimentation, forêt et affaires rurales;215;3;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);0;;430 410 461;421 896 287;430 410 461;421 896 287
Agriculture, alimentation, forêt et affaires rurales;215;4;Moyens communs;0;;67 113 951;71 767 360;71 273 551;73 947 438
