Gestion;2016;;;;;;;;;;;;;;;;;;;;
Type Budget;Budgets annexes;;;;;;;;;;;;;;;;;;;;
;;;;;;Données;;;;;;;;;;;;;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2015;AEPLF;AEAMT;AELF; CPLF 2015; CPPLF;CPAMT;CPLF;;;;;;;;
Contrôle et exploitation aériens;612;01;Soutien et prestations externes de la Navigation aérienne;0;;11 081 215;250 725 326;0;250 725 326;11 204 015;250 725 326;0;250 725 326;;;;;;;;
Contrôle et exploitation aériens;612;02;Exploitation et innovation de la Navigation aérienne;0;;105 967 000;278 204 943;0;278 204 943;109 492 000;284 002 113;0;284 002 113;;;;;;;;
Contrôle et exploitation aériens;613;01;Ressources humaines et management;0;;1 157 176 220;1 153 580 333;0;1 153 580 333;1 157 176 220;1 153 580 333;0;1 153 580 333;;;;;;;;
Contrôle et exploitation aériens;613;02;Logistique;0;;41 334 281;41 879 866;0;41 879 866;41 334 281;41 459 009;0;41 459 009;;;;;;;;
Contrôle et exploitation aériens;613;03;Affaires financières;0;;430 569 042;407 862 550;0;407 862 550;430 569 042;407 862 550;0;407 862 550;;;;;;;;
Contrôle et exploitation aériens;613;04;Formation aéronautique;0;;94 953 304;93 054 238;0;93 054 238;94 953 304;93 054 238;0;93 054 238;;;;;;;;
Contrôle et exploitation aériens;614;01;Développement durable et régulation;0;;17 126 056;17 134 648;0;17 134 648;17 126 056;17 035 851;0;17 035 851;;;;;;;;
Contrôle et exploitation aériens;614;02;Surveillance et certification;0;;24 889 861;24 364 003;0;24 364 003;24 889 861;24 107 693;0;24 107 693;;;;;;;;
Contrôle et exploitation aériens;614;04;Enquêtes de sécurité aérienne;0;;2 953 213;2 905 118;0;2 905 118;2 953 213;2 905 118;0;2 905 118;;;;;;;;
Publications officielles et information administrative;623;01;Diffusion légale;0;;8 795 000;7 000 000;0;7 000 000;8 795 000;7 500 000;0;7 500 000;;;;;;;;
Publications officielles et information administrative;623;02;Information administrative, édition publique et promotion;0;;68 194 354;63 444 570;0;63 444 570;54 923 015;50 753 501;0;50 753 501;;;;;;;;
Publications officielles et information administrative;624;01;Pilotage, modernisation et activités numériques;0;;6 613 879;6 077 807;0;6 077 807;7 905 658;7 264 884;0;7 264 884;;;;;;;;
Publications officielles et information administrative;624;02;Promotion et distribution des publications;0;;0;0;0;0;0;0;0;0;;;;;;;;
Publications officielles et information administrative;624;03;Dépenses de personnel;0;;74 771 956;75 188 918;0;75 188 918;74 771 956;75 188 918;0;75 188 918;;;;;;;;
Publications officielles et information administrative;624;04;Convention Etat - Société anonyme de composition et d'impression des journaux officiels;0;;42 734 000;41 072 000;0;41 072 000;42 734 000;41 072 000;0;41 072 000;;;;;;;;
