;;;(en millions d’euros)
Désignation des recettes;Évaluations initiales;Évaluations révisées;Évaluations
;pour 2015;pour 2015;pour 2016
A. Recettes fiscales;378 566 ;380 994 ;386 130 
1. Impôt sur le revenu;75 305;76 047;76 687
2. Autres impôts directs perçus par voie d'émission de rôles;2 952;2 936;3 034
3. Impôt sur les sociétés;56 913;59 286;57 549
3bis. Contribution sociale sur les bénéfices;1 196;1 119;1 192
4. Autres impôts directs et taxes assimilées;14 087;14 534;14 642
5. Taxe intérieure de consommation sur les produits énergétiques;14 010;13 905;15 595
6. Taxe sur la valeur ajoutée;193 280;192 644;195 891
7. Enregistrement, timbre, autres contributions et taxes indirectes;20 823;20 523;21 540
À déduire : Remboursements et dégrèvements;99 475 ;102 783 ;100 164 
A'. Recettes fiscales nettes;279 091 ;278 211 ;285 966 
B. Recettes non fiscales ;14 234 ;14 069 ;15 711 
C. Prélèvements sur les recettes de l’État;71 471 ;70 771 ;68 620 
1. Prélèvements sur les recettes de l'État au profit des collectivités territoriales;50 729;50 729;47 111
2. Prélèvements sur les recettes de l’État au profit de l’Union européenne;20 742;20 042;21 509
Recettes totales nettes des prélèvements (A’ + B – C);221 854 ;221 509 ;233 057 
D. Fonds de concours et recettes assimilées;3 925 ;;3 571 
Recettes nettes totales du budget général, y compris fonds de concours (A' + B – C + D);225 779 ;;236 628 
