GESTION;2018;;;;;;;;
TYPE BUDGET;Budgets annexes;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2017;AEPLF; CPLF 2017; CPPLF
Contrôle et exploitation aériens;612;01;Soutien et prestations externes de la Navigation aérienne;;;246 374 841;251 018 266;246 464 841;249 068 266
Contrôle et exploitation aériens;612;02;Exploitation et innovation de la Navigation aérienne;;;282 067 770;280 836 626;281 977 770;282 786 626
Contrôle et exploitation aériens;613;01;Ressources humaines et management;;;1 195 086 734;1 211 011 347;1 195 461 734;1 211 238 587
Contrôle et exploitation aériens;613;02;Logistique;;;40 433 765;40 855 743;40 058 765;40 628 503
Contrôle et exploitation aériens;613;03;Affaires financières;;;236 739 000;206 771 536;236 739 000;206 771 536
Contrôle et exploitation aériens;613;04;Formation aéronautique;;;91 234 465;93 216 734;91 234 465;93 216 734
Contrôle et exploitation aériens;614;01;Développement durable et régulation;;;16 694 865;16 349 837;16 694 865;16 516 993
Contrôle et exploitation aériens;614;02;Surveillance et certification;;;23 879 450;24 219 076;23 879 450;23 977 043
Contrôle et exploitation aériens;614;04;Enquêtes de sécurité aérienne;;;2 851 425;2 856 321;2 851 425;2 931 198
Publications officielles et information administrative;623;01;Diffusion légale;;;6 700 000;6 700 000;6 700 000;6 700 000
Publications officielles et information administrative;623;02;Information administrative, édition publique et promotion;;;59 321 000;55 840 000;47 839 000;46 135 000
Publications officielles et information administrative;624;01;Pilotage, modernisation et activités numériques;;;6 573 000;8 000 000;7 700 000;7 700 000
Publications officielles et information administrative;624;02;Promotion et distribution des publications;;;;;;
Publications officielles et information administrative;624;03;Dépenses de personnel;;;73 900 000;69 694 856;73 900 000;69 694 856
Publications officielles et information administrative;624;04;Convention Etat - Société anonyme de composition et d'impression des journaux officiels;;;40 972 000;43 058 000;40 972 000;43 058 000
;;;;;;;;;
