GESTION;2018;;;;;;;;
TYPE BUDGET;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2017;AEPLF; CPLF 2017; CPPLF
Action et transformation publiques;348;11;Etudes;;;;20 000 000;;20 000 000
Action et transformation publiques;348;12;Travaux et gros entretien à la charge du propriétaire;;;;;;
Action et transformation publiques;348;13;Acquisitions, construction;;;;;;
Action et transformation publiques;349;01;Fonds pour la transformation de l’action publique;;;;200 000 000;;0
Action extérieure de l'État;105;01;Coordination de l'action diplomatique;;;85 975 513;90 003 801;85 975 513;90 003 801
Action extérieure de l'État;105;02;Action européenne;;;51 344 051;52 216 276;51 344 051;52 216 276
Action extérieure de l'État;105;04;Contributions internationales;;;769 297 298;757 561 767;769 297 298;757 561 767
Action extérieure de l'État;105;05;Coopération de sécurité et de défense;;;105 442 021;102 298 705;105 442 021;102 298 705
Action extérieure de l'État;105;06;Soutien;;;233 086 951;250 560 416;238 224 915;253 984 038
Action extérieure de l'État;105;07;Réseau diplomatique;;;654 211 696;646 920 719;652 755 696;646 461 988
Action extérieure de l'État;151;01;Offre d'un service public de qualité aux Français à l'étranger;;;224 118 186;207 028 297;224 118 186;207 028 297
Action extérieure de l'État;151;02;Accès des élèves français au réseau AEFE;;;110 030 500;110 000 000;110 030 500;110 000 000
Action extérieure de l'État;151;03;Instruction des demandes de visa;;;53 129 716;51 409 400;53 129 716;51 409 400
Action extérieure de l'État;185;01;Appui au réseau;;;43 478 914;43 017 823;43 478 914;43 017 823
Action extérieure de l'État;185;02;Coopération culturelle et promotion du français;;;65 654 853;62 409 998;65 654 853;62 409 998
Action extérieure de l'État;185;03;Objectifs de développement durable;;;5 754 772;5 668 170;5 754 772;5 668 170
Action extérieure de l'État;185;04;Enseignement supérieur et recherche;;;95 202 448;102 048 610;95 202 448;102 048 610
Action extérieure de l'État;185;05;Agence pour l'enseignement français à l'étranger;;;396 674 393;398 706 841;396 674 393;398 706 841
Action extérieure de l'État;185;06;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";;;75 575 658;72 967 171;75 575 658;72 967 171
Action extérieure de l'État;185;07;Diplomatie économique et développement du tourisme;;;33 091 020;32 691 020;33 091 020;32 691 020
Action extérieure de l'État;347;01;Préparation et organisation du Sommet du G7;;;;9 430 000;;9 430 000
Action extérieure de l'État;347;02;Organisation des réunions ministérielles;;;;4 750 000;;2 350 000
Action extérieure de l'État;347;03;Fonctionnement du Secrétariat général et communication;;;;220 000;;220 000
Administration générale et territoriale de l'État;216;01;État-major et services centraux;;;356 616 502;373 658 660;356 616 502;373 658 660
Administration générale et territoriale de l'État;216;03;Système d'information et de communication;;;80 401 439;57 534 704;82 493 189;57 685 404
Administration générale et territoriale de l'État;216;04;Action sociale et formation;;;40 614 600;40 192 600;40 614 600;40 192 600
Administration générale et territoriale de l'État;216;05;Affaires immobilières;;;111 185 621;89 145 404;145 605 805;149 475 535
Administration générale et territoriale de l'État;216;06;Affaires juridiques et contentieuses;;;55 000 000;80 000 000;55 000 000;80 000 000
Administration générale et territoriale de l'État;216;08;Immigration, asile et intégration;;;40 137 421;41 006 985;40 137 421;41 006 985
Administration générale et territoriale de l'État;216;09;Sécurité et éducation routières;;;124 788 854;126 209 284;124 788 854;126 209 284
Administration générale et territoriale de l'État;216;10;Fonds interministériel de prévention de la délinquance;;;110 415 501;72 900 000;100 415 501;72 900 000
Administration générale et territoriale de l'État;232;01;Financement des partis;;;68 670 672;68 670 672;68 670 672;68 670 672
Administration générale et territoriale de l'État;232;02;Organisation des élections;;;392 558 140;44 365 000;391 168 140;46 565 000
Administration générale et territoriale de l'État;232;03;Commission nationale des comptes de campagne et des financements politiques;;;9 650 000;6 454 443;7 050 000;7 554 443
Administration générale et territoriale de l'État;232;04;Cultes;;;3 051 537;2 757 037;3 051 537;2 777 037
Administration générale et territoriale de l'État;232;05;Vie associative;;;132 000;89 890;132 000;89 890
Administration générale et territoriale de l'État;307;01;Coordination de la sécurité des personnes et des biens;;;165 478 918;172 518 163;165 478 918;172 518 163
Administration générale et territoriale de l'État;307;02;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres;;;686 831 367;688 314 118;686 831 367;688 314 118
Administration générale et territoriale de l'État;307;03;Contrôle de légalité et conseil aux collectivités territoriales;;;150 016 970;153 375 078;150 016 970;153 375 078
Administration générale et territoriale de l'État;307;04;Pilotage territorial des politiques gouvernementales;;;523 354 044;514 178 284;523 101 907;514 169 010
Administration générale et territoriale de l'État;307;05;Animation et soutien du réseau;;;180 620 305;166 074 751;165 308 375;161 753 859
Agriculture, alimentation, forêt et affaires rurales;149;21;Adaptation des filières à l'évolution des marchés;;;204 384 785;219 250 000;205 143 544;219 650 000
Agriculture, alimentation, forêt et affaires rurales;149;22;Gestion des crises et des aléas de la production agricole;;;3 814 777;5 484 000;5 487 672;5 484 000
Agriculture, alimentation, forêt et affaires rurales;149;23;Appui au renouvellement et à la modernisation des exploitations agricoles;;;154 772 184;138 071 192;119 836 206;140 443 738
Agriculture, alimentation, forêt et affaires rurales;149;24;Gestion équilibrée et durable des territoires;;;389 848 837;394 936 853;380 566 130;471 951 620
Agriculture, alimentation, forêt et affaires rurales;149;25;Protection sociale;;;915 852 757;480 392 865;915 852 375;480 392 865
Agriculture, alimentation, forêt et affaires rurales;149;26;Gestion durable de la forêt et développement de la filière bois;;;268 519 497;242 891 303;276 434 667;271 403 990
Agriculture, alimentation, forêt et affaires rurales;149;27;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;;;284 560 664;590 816 652;284 560 664;590 816 652
Agriculture, alimentation, forêt et affaires rurales;149;28;Pêche et aquaculture;;;44 842 600;45 300 000;44 842 600;45 300 000
Agriculture, alimentation, forêt et affaires rurales;206;01;Prévention et gestion des risques inhérents à la production végétale;;;25 521 000;31 871 000;25 320 000;31 716 000
Agriculture, alimentation, forêt et affaires rurales;206;02;Lutte contre les maladies animales et protection des animaux;;;92 242 933;100 934 695;90 217 299;99 579 695
Agriculture, alimentation, forêt et affaires rurales;206;03;Prévention et gestion des risques sanitaires liés aux denrées alimentaires;;;16 310 000;20 456 000;16 307 000;20 433 000
Agriculture, alimentation, forêt et affaires rurales;206;04;Actions transversales;;;68 994 323;76 232 805;69 132 324;75 266 805
Agriculture, alimentation, forêt et affaires rurales;206;05;Elimination des cadavres et des sous-produits animaux;;;4 266 000;3 300 000;3 869 000;3 800 000
Agriculture, alimentation, forêt et affaires rurales;206;06;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;;;297 130 424;318 483 920;297 130 424;318 483 920
Agriculture, alimentation, forêt et affaires rurales;206;08;Qualité de l'alimentation et offre alimentaire;;;3 711 500;3 711 500;3 710 500;3 710 500
Agriculture, alimentation, forêt et affaires rurales;215;01;Moyens de l'administration centrale;;;206 971 467;206 591 927;205 905 403;210 594 176
Agriculture, alimentation, forêt et affaires rurales;215;02;Évaluation de l'impact des politiques publiques et information économique;;;18 257 550;18 285 823;18 257 550;18 285 823
Agriculture, alimentation, forêt et affaires rurales;215;03;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);;;360 644 627;355 757 495;360 644 627;355 757 495
Agriculture, alimentation, forêt et affaires rurales;215;04;Moyens communs;;;67 779 294;69 563 025;67 878 973;71 606 325
Aide publique au développement;110;01;Aide économique et financière multilatérale;;;1 452 260 139;430 870 721;586 619 912;594 361 154
