Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;AE PLF 2019;CP PLF 2019;Code Ministère;Ministère
PLF 2019;Budgets annexes;Contrôle et exploitation aériens;613;Soutien aux prestations de l'aviation civile;1;Ressources humaines et management;;;1 224 736 519;1 224 557 519;23;Transition écologique et solidaire
PLF 2019;Budgets annexes;Contrôle et exploitation aériens;613;Soutien aux prestations de l'aviation civile;2;Logistique;;;41 191 061;41 370 061;23;Transition écologique et solidaire
PLF 2019;Budgets annexes;Contrôle et exploitation aériens;613;Soutien aux prestations de l'aviation civile;3;Affaires financières;;;145 216 907;145 216 907;23;Transition écologique et solidaire
PLF 2019;Budgets annexes;Contrôle et exploitation aériens;613;Soutien aux prestations de l'aviation civile;4;Formation aéronautique;;;95 000 000;95 000 000;23;Transition écologique et solidaire
PLF 2019;Budgets annexes;Contrôle et exploitation aériens;612;Navigation aérienne;1;Soutien et prestations externes de la Navigation aérienne;;;246 923 059;245 123 059;23;Transition écologique et solidaire
PLF 2019;Budgets annexes;Contrôle et exploitation aériens;612;Navigation aérienne;2;Exploitation et innovation de la Navigation aérienne;;;325 300 000;327 100 000;23;Transition écologique et solidaire
PLF 2019;Budgets annexes;Contrôle et exploitation aériens;614;Transports aériens, surveillance et certification;1;Développement durable et régulation;;;16 170 975;16 170 975;23;Transition écologique et solidaire
PLF 2019;Budgets annexes;Contrôle et exploitation aériens;614;Transports aériens, surveillance et certification;2;Surveillance et certification;;;23 346 398;23 346 398;23;Transition écologique et solidaire
PLF 2019;Budgets annexes;Contrôle et exploitation aériens;614;Transports aériens, surveillance et certification;4;Enquêtes de sécurité aérienne;;;2 853 596;2 853 596;23;Transition écologique et solidaire
PLF 2019;Budgets annexes;Publications officielles et information administrative;623;Édition et diffusion;1;Diffusion légale;;;6 000 000;6 000 000;12;Services du Premier ministre
PLF 2019;Budgets annexes;Publications officielles et information administrative;623;Édition et diffusion;2;Information administrative, édition publique et promotion;;;56 240 000;46 535 000;12;Services du Premier ministre
PLF 2019;Budgets annexes;Publications officielles et information administrative;624;Pilotage et ressources humaines;1;Pilotage, modernisation et activités numériques;;;8 000 000;7 700 000;12;Services du Premier ministre
PLF 2019;Budgets annexes;Publications officielles et information administrative;624;Pilotage et ressources humaines;2;Promotion et distribution des publications;;;;;12;Services du Premier ministre
PLF 2019;Budgets annexes;Publications officielles et information administrative;624;Pilotage et ressources humaines;3;Dépenses de personnel;;;65 912 746;65 912 746;12;Services du Premier ministre
PLF 2019;Budgets annexes;Publications officielles et information administrative;624;Pilotage et ressources humaines;4;Convention Etat - Société anonyme de composition et d'impression des journaux officiels;;;39 859 000;39 859 000;12;Services du Premier ministre
