Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;AE PLF 2019;CP PLF 2019;Code Ministère;Ministère
PLF 2019;Budget général;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;11;Etudes;;;20 000 000;20 000 000;7;Action et comptes publics
PLF 2019;Budget général;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;12;Travaux et gros entretien à la charge du propriétaire;;;465 000 000;47 000 000;7;Action et comptes publics
PLF 2019;Budget général;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;13;Acquisitions, construction;;;415 000 000;33 000 000;7;Action et comptes publics
PLF 2019;Budget général;Action et transformation publiques;349;Fonds pour la transformation de l'action publique;1;Fonds pour la transformation de l’action publique;;;250 000 000;160 000 000;7;Action et comptes publics
PLF 2019;Budget général;Action et transformation publiques;351;Fonds d'accompagnement interministériel Ressources humaines;1;Accompagnement interministériel Ressources humaines;;;50 000 000;50 000 000;7;Action et comptes publics
PLF 2019;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;1;Coordination de l'action diplomatique;;;99 882 328;99 882 328;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;2;Action européenne;;;54 377 128;54 377 128;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;4;Contributions internationales;;;682 841 551;683 841 551;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;5;Coopération de sécurité et de défense;;;104 042 762;104 042 762;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;6;Soutien;;;224 271 811;222 093 475;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;7;Réseau diplomatique;;;610 592 015;610 133 284;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;1;Appui au réseau;;;41 101 383;41 101 383;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;2;Coopération culturelle et promotion du français;;;67 015 315;67 015 315;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;3;Objectifs de développement durable;;;3 372 754;3 372 754;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;4;Enseignement supérieur et recherche;;;94 578 610;94 578 610;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;5;Agence pour l'enseignement français à l'étranger;;;384 006 841;384 006 841;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;6;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";;;74 235 198;74 235 198;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;7;Diplomatie économique et développement du tourisme;;;35 261 020;35 261 020;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;1;Offre d'un service public de qualité aux Français à l'étranger;;;214 170 044;214 170 044;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;2;Accès des élèves français au réseau AEFE;;;105 300 000;105 300 000;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;3;Instruction des demandes de visa;;;54 770 324;54 770 324;1;Europe et affaires étrangères
PLF 2019;Budget général;Action extérieure de l'État;347;Présidence française du G7;1;Préparation et organisation du Sommet du G7;;;20 628 000;23 008 000;1;Europe et affaires étrangères
