Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;AE PLF 2019;CP PLF 2019;Code Ministère;Ministère
PLF 2019;Comptes d'affectation spéciale;Aides à l'acquisition de véhicules propres;791;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;1;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;;;264 000 000;264 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Aides à l'acquisition de véhicules propres;792;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;1;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;;;306 000 000;306 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;1;Dispositifs de contrôle;;;194 320 000;194 320 000;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;2;Centre national de traitement;;;92 000 000;92 000 000;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;3;Soutien au programme;;;18 050 000;18 050 000;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;4;Fichier national du permis de conduire;;;35 580 000;35 580 000;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;753;Contrôle et modernisation de la politique de la circulation et du stationnement routiers;1;Déploiement du procès-verbal électronique;;;26 200 000;26 200 000;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;754;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;1;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;;;478 065 823;478 065 823;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;755;Désendettement de l'État;1;Désendettement de l'État;;;452 435 730;452 435 730;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Développement agricole et rural;775;Développement et transfert en agriculture;1;Développement et transfert;;;64 900 000;64 900 000;3;Agriculture et alimentation
PLF 2019;Comptes d'affectation spéciale;Développement agricole et rural;775;Développement et transfert en agriculture;2;Fonction support;;;100 000;100 000;3;Agriculture et alimentation
PLF 2019;Comptes d'affectation spéciale;Développement agricole et rural;776;Recherche appliquée et innovation en agriculture;1;Recherche appliquée et innovation;;;70 700 000;70 700 000;3;Agriculture et alimentation
PLF 2019;Comptes d'affectation spéciale;Développement agricole et rural;776;Recherche appliquée et innovation en agriculture;2;Fonction support;;;300 000;300 000;3;Agriculture et alimentation
