Numérode ligne;Intitulé de la recette;Évaluation pour 2019 (en euros)
;1. Recettes fiscales;
;11. Impôt sur le revenu ;86 961 912 000
1101;Impôt sur le revenu;86 961 912 000
;12. Autres impôts directs perçus par voie d'émission de rôles ;3 415 000 000
1201;Autres impôts directs perçus par voie d'émission de rôles;3 415 000 000
;13. Impôt sur les sociétés ;66 714 269 000
1301;Impôt sur les sociétés;65 433 842 000
1302;Contribution sociale sur les bénéfices des sociétés;1 280 427 000
;14. Autres impôts directs et taxes assimilées ;18 375 331 000
1401;Retenues à la source sur certains bénéfices non commerciaux et de l'impôt sur le revenu;1 073 322 000
1402;Retenues à la source et prélèvements sur les revenus de capitaux mobiliers et le prélèvement sur les bons anonymes;4 188 000 000
1403;Prélèvements sur les bénéfices tirés de la construction immobilière (loi n°63-254 du 15 mars 1963 art 28-IV);0
1404;Précompte dû par les sociétés au titre de certains bénéfices distribués (loi n°65-566 du 12 juillet 1965 art 3);0
1405;Prélèvement exceptionnel de 25% sur les distributions de bénéfices;652 000
1406;Impôt sur la fortune immobilière;1 533 000 000
1407;Taxe sur les locaux à usage de bureaux, les locaux commerciaux et de stockage;0
1408;Prélèvements sur les entreprises d'assurance;100 000 000
1409;Taxe sur les salaires;0
1410;Cotisation minimale de taxe professionnelle;0
1411;Cotisations perçues au titre de la participation des employeurs à l'effort de construction;24 957 000
1412;Taxe de participation des employeurs au financement de la formation professionnelle continue;31 640 000
1413;Taxe forfaitaire sur les métaux précieux, les bijoux, les objets d'art, de collection et d'antiquité;81 301 000
1415;Contribution des institutions financières;0
1416;Taxe sur les surfaces commerciales;203 612 000
1421;Cotisation nationale de péréquation de taxe professionnelle;0
1427;Prélèvements de solidarité;2 685 000 000
1428;Prélèvement social sur les revenus du patrimoine;3 320 772 000
1429;Prélèvement social sur les produits de placement;4 038 505 000
1497;Cotisation sur la valeur ajoutée des entreprises (affectation temporaire à l'État en 2010);0
1498;Cotisation foncière des entreprises (affectation temporaire à l'État en 2010);0
1499;Recettes diverses;1 094 570 000
;15. Taxe intérieure de consommation sur les produits énergétiques ;17 036 284 000
1501;Taxe intérieure de consommation sur les produits énergétiques;17 036 284 000
;16. Taxe sur la valeur ajoutée ;186 268 438 000
1601;Taxe sur la valeur ajoutée;186 268 438 000
;17. Enregistrement, timbre, autres contributions et taxes indirectes ;35 856 347 000
1701;Mutations à titre onéreux de créances, rentes, prix d'offices;530 000 000
1702;Mutations à titre onéreux de fonds de commerce;177 000 000
1703;Mutations à titre onéreux de meubles corporels;1 000 000
1704;Mutations à titre onéreux d'immeubles et droits immobiliers;20 000 000
1705;Mutations à titre gratuit entre vifs (donations);2 350 129 000
1706;Mutations à titre gratuit par décès;11 959 765 000
1707;Contribution de sécurité immobilière;740 600 000
1711;Autres conventions et actes civils;492 347 000
1712;Actes judiciaires et extrajudiciaires;0
1713;Taxe de publicité foncière;461 329 000
1714;Prélèvement sur les sommes versées par les organismes d'assurances et assimilés à raison des contrats d'assurances en cas de décès;194 697 000
1715;Taxe additionnelle au droit de bail;0
1716;Recettes diverses et pénalités;252 432 000
1721;Timbre unique;405 000 000
1722;Taxe sur les véhicules de société;0
1723;Actes et écrits assujettis au timbre de dimension;0
1725;Permis de chasser;0
1751;Droits d'importation;0
1753;Autres taxes intérieures;10 762 000 000
1754;Autres droits et recettes accessoires;4 660 000
1755;Amendes et confiscations;40 901 000
1756;Taxe générale sur les activités polluantes;700 000 000
1757;Cotisation à la production sur les sucres;0
1758;Droit de licence sur la rémunération des débitants de tabac;0
1761;Taxe et droits de consommation sur les tabacs;0
1766;Garantie des matières d'or et d'argent;0
1768;Taxe spéciale sur certains véhicules routiers;185 000 000
