Année RAP;Type de Budget (Hors Budgets annexes);Code Ministère au 1er janvier 2017;Ministère au 1er janvier 2017;Code Programme;Programme;Code Action;Action;T1 EXEC CP 2017;T2 EXEC CP 2017;T3 EXEC CP 2017;T4 EXEC CP 2017;T5 EXEC CP 2017;T6 EXEC CP 2017;T7 EXEC CP 2017
2017;Comptes d'affectation spéciale;MIN03;Agriculture, agroalimentaire et forêt;775;Développement et transfert en agriculture;01;Développement et transfert;;;;;;60 950 992;
2017;Comptes d'affectation spéciale;MIN03;Agriculture, agroalimentaire et forêt;775;Développement et transfert en agriculture;02;Fonction support;;;8 706;;;24 650;
2017;Comptes d'affectation spéciale;MIN03;Agriculture, agroalimentaire et forêt;776;Recherche appliquée et innovation en agriculture;01;Recherche appliquée et innovation;;;3 404 330;;;64 422 039;
2017;Comptes d'affectation spéciale;MIN03;Agriculture, agroalimentaire et forêt;776;Recherche appliquée et innovation en agriculture;02;Fonction support;;;118 172;;;20 896;
2017;Comptes d'affectation spéciale;MIN07;Économie et finances;721;Contributions des cessions immobilières à l'étranger au désendettement de l'État;01;Contribution au désendettement de l'État;;;60 109 032;;;;
2017;Comptes d'affectation spéciale;MIN07;Économie et finances;723;Opérations immobilières nationales et des administrations centrales;11;Opérations structurantes et cessions;;;62 590 371;;121 040 356;11 459 364;85 315 000
2017;Comptes d'affectation spéciale;MIN07;Économie et finances;723;Opérations immobilières nationales et des administrations centrales;12;Contrôles règlementaires, audits, expertises et diagnostiques;;;12 724 410;;211 921;;
2017;Comptes d'affectation spéciale;MIN07;Économie et finances;723;Opérations immobilières nationales et des administrations centrales;13;Maintenance à la charge du propriétaire;;;12 761 652;;196 923;;1 556 182
2017;Comptes d'affectation spéciale;MIN07;Économie et finances;723;Opérations immobilières nationales et des administrations centrales;14;Gros entretien, réhabilitation, mise en conformité et remise en état;;;24 859 181;;22 049 533;;
2017;Comptes d'affectation spéciale;MIN07;Économie et finances;724;Opérations immobilières déconcentrées;11;Opérations structurantes et cessions;;;6 848 069;;30 883 914;101 138;
2017;Comptes d'affectation spéciale;MIN07;Économie et finances;724;Opérations immobilières déconcentrées;12;Contrôles règlementaires, audits, expertises et diagnostiques;;;5 741 015;;1 452 307;;
