Année RAP;Type de Budget (Hors Budgets annexes);Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;Code Catégorie;Catégorie;"EXEC CP 2017
RAP 2017";Code Titre;Titre;Code Ministère au 1er janvier 2017;Ministère au 1er janvier 2017
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;;21;Rémunérations d’activité;44 553 801;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;;22;Cotisations et contributions sociales;18 788 691;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;;23;Prestations sociales et allocations diverses;1 080 933;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;;31;Dépenses de fonctionnement autres que celles de personnel;18 766 779;3;Dépenses de fonctionnement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;;32;Subventions pour charges de service public;0;3;Dépenses de fonctionnement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;;61;Transferts aux ménages;127 406;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;;62;Transferts aux entreprises;1 092 462;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;;63;Transferts aux collectivités territoriales;136 300;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;;64;Transferts aux autres collectivités;1 557 156;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;02;Action européenne;;;21;Rémunérations d’activité;4 463 558;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;02;Action européenne;;;22;Cotisations et contributions sociales;1 891 119;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;02;Action européenne;;;23;Prestations sociales et allocations diverses;111 076;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;02;Action européenne;;;31;Dépenses de fonctionnement autres que celles de personnel;8 109;3;Dépenses de fonctionnement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;02;Action européenne;;;62;Transferts aux entreprises;1 200 000;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;02;Action européenne;;;64;Transferts aux autres collectivités;39 822 683;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;04;Contributions internationales;;;63;Transferts aux collectivités territoriales;0;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;04;Contributions internationales;;;64;Transferts aux autres collectivités;674 502 628;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;;21;Rémunérations d’activité;42 864 197;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;;22;Cotisations et contributions sociales;17 464 899;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;;23;Prestations sociales et allocations diverses;84 520;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;;31;Dépenses de fonctionnement autres que celles de personnel;4 943 262;3;Dépenses de fonctionnement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;;51;Dépenses pour immobilisations corporelles de l’État;12 800;5;Dépenses d’investissement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;;61;Transferts aux ménages;361;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;;62;Transferts aux entreprises;2 986 397;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;;64;Transferts aux autres collectivités;17 482 401;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien;;;21;Rémunérations d’activité;81 199 622;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien;;;22;Cotisations et contributions sociales;34 934 645;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien;;;23;Prestations sociales et allocations diverses;2 001 495;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien;;;31;Dépenses de fonctionnement autres que celles de personnel;120 850 087;3;Dépenses de fonctionnement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien;;;51;Dépenses pour immobilisations corporelles de l’État;4 366 363;5;Dépenses d’investissement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien;;;52;Dépenses pour immobilisations incorporelles de l’État;2 196 966;5;Dépenses d’investissement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien;;;61;Transferts aux ménages;111 237;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien;;;64;Transferts aux autres collectivités;21 864;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;21;Rémunérations d’activité;314 934 128;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;22;Cotisations et contributions sociales;76 345 711;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;23;Prestations sociales et allocations diverses;1 153 610;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;31;Dépenses de fonctionnement autres que celles de personnel;210 823 935;3;Dépenses de fonctionnement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;51;Dépenses pour immobilisations corporelles de l’État;45 399 885;5;Dépenses d’investissement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;61;Transferts aux ménages;1 634;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;64;Transferts aux autres collectivités;425 822;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;71;Prêts et avances;238 665;7;Dépenses d’opérations financières;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;;21;Rémunérations d’activité;148 683 640;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;;22;Cotisations et contributions sociales;32 126 670;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;;23;Prestations sociales et allocations diverses;503 765;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;;31;Dépenses de fonctionnement autres que celles de personnel;21 670 896;3;Dépenses de fonctionnement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;;32;Subventions pour charges de service public;2 000;3;Dépenses de fonctionnement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;;61;Transferts aux ménages;13 518 626;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;;64;Transferts aux autres collectivités;2 051 580;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;02;Accès des élèves français au réseau AEFE;;;61;Transferts aux ménages;99 200 000;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa;;;21;Rémunérations d’activité;43 996 976;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa;;;22;Cotisations et contributions sociales;9 506 567;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa;;;23;Prestations sociales et allocations diverses;160 085;2;Dépenses de personnel;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa;;;31;Dépenses de fonctionnement autres que celles de personnel;194 540;3;Dépenses de fonctionnement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;01;Appui au réseau;;;31;Dépenses de fonctionnement autres que celles de personnel;42 722 575;3;Dépenses de fonctionnement;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;01;Appui au réseau;;;61;Transferts aux ménages;320;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
2017;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;01;Appui au réseau;;;62;Transferts aux entreprises;22 814;6;Dépenses d’intervention;MIN01;Affaires étrangères et développement international
