Année RAP;Type de Budget (Hors Budgets annexes);Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;Code Catégorie;Catégorie;"EXEC CP 2017
RAP 2017";Code Titre;Titre;Code Ministère au 1er janvier 2017;Ministère au 1er janvier 2017
2017;Comptes de concours financiers;ZB;Avances à divers services de l'État ou organismes gérant des services publics;821;Avances à l'Agence de services et de paiement, au titre du préfinancement des aides communautaires de la politique agricole commune;01;Avances au titre du préfinancement des aides communautaires de la politique agricole commune;;;71;Prêts et avances;13 954 305 966;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZB;Avances à divers services de l'État ou organismes gérant des services publics;823;Avances à des organismes distincts de l'État et gérant des services publics;01;Avances à des organismes distincts de l'État et gérant des services publics;;;71;Prêts et avances;116 831 010;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZB;Avances à divers services de l'État ou organismes gérant des services publics;824;Avances à des services de l'État;01;Avances au budget annexe « Contrôle et exploitation aériens »;;;71;Prêts et avances;102 602 000;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZC;Avances aux collectivités territoriales;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;01;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;;;71;Prêts et avances;94 248 311 283;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZC;Avances aux collectivités territoriales;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;02;Avances aux départements sur le produit de la taxe intérieure de consommation sur les produits pétroliers;;;71;Prêts et avances;5 939 274 059;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZC;Avances aux collectivités territoriales;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;03;Avances aux départements sur les frais de gestion de la taxe foncière sur les propriétés bâties;;;71;Prêts et avances;931 874 377;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZC;Avances aux collectivités territoriales;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;04;Avances aux régions sur les frais de gestion de la contribution foncière des entreprises (CFE), de la contribution sur la valeur ajoutée des entreprises (CVAE) et de la taxe d'habitation (TH) et sur le produit de la taxe intérieure de consommation sur les produits énergétiques (TICPE);;;71;Prêts et avances;954 633 690;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;841;France Télévisions;01;France Télévisions;;;71;Prêts et avances;2 597 748 917;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;842;ARTE France;01;ARTE France;;;71;Prêts et avances;280 011 969;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;843;Radio France;01;Radio France;;;71;Prêts et avances;625 112 736;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;844;France Médias Monde;01;France Médias Monde;;;71;Prêts et avances;256 811 872;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;845;Institut national de l'audiovisuel;01;Institut national de l'audiovisuel;;;71;Prêts et avances;90 869 000;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;847;TV5 Monde;01;TV5 Monde;;;71;Prêts et avances;80 008 935;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZE;Prêts à des États étrangers;851;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;01;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;;;71;Prêts et avances;267 972 031;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZE;Prêts à des États étrangers;852;Prêts à des États étrangers pour consolidation de dettes envers la France;01;Prêts résultant de l'exécution d'accords conclus avec les gouvernements étrangers et portant consolidation des dettes de leur pays envers la France;;;71;Prêts et avances;183 249;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZE;Prêts à des États étrangers;853;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;01;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;;;71;Prêts et avances;225 000 000;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;861;Prêts et avances pour le logement des agents de l'État;04;Avances aux agents de l'État à l'étranger pour la prise en location d'un logement;;;71;Prêts et avances;12 240;7;Dépenses d’opérations financières;MIN07;Économie et finances
2017;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;862;Prêts pour le développement économique et social;01;Prêts pour le développement économique et social;;;71;Prêts et avances;132 000;7;Dépenses d’opérations financières;MIN07;Économie et finances
