ANNEE,ID_TMS,"Type de mission",COD_MSN,Mission,COD_PGM,Programme,"code action",action,"code sous-action","sous action"
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",01,"Coordination de l'action diplomatique",01,"Etat major : cabinets"
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",01,"Coordination de l'action diplomatique",08,"Etat major : logistique de niveau chef d'Etat ou de gouvernement"
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",01,"Coordination de l'action diplomatique",09,"Etat-major : affaires politiques"
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",01,"Coordination de l'action diplomatique",15,"Personnel concourant à l'action ""coordination de l'action diplomatique"""
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",01,"Coordination de l'action diplomatique",16,"Sécurité des communautés françaises"
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",02,"Action européenne",01,"Moyens de fonctionnement : services d'administration centrale"
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",02,"Action européenne",02,"Moyens de fonctionnement : secrétariat du conseil de défense franco-allemand sur la défense et la sécurité (CFADS)"
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",02,"Action européenne",07,"Contributions obligatoires et interventions : interventions du ministre des affaires européennes"
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",02,"Action européenne",08,"Contributions obligatoires et interventions : organisations européennes"
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",02,"Action européenne",09,"Contributions obligatoires et interventions : Strasbourg capitale européenne"
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",02,"Action européenne",11,"Personnel concourant à l'action ""action européenne"""
2013,1,"Budget général",AA,"Action extérieure de l'État",105,"Action de la France en Europe et dans le monde",04,"Contributions internationales",01,"Opérations de maintien de la paix : participations obligatoires aux opérations de maintien de la paix des Nations Unies (en devises)"
